scenario,probability,hour,node,lambda_eur_per_mwh
high,0.25,6,N6,60.0
high,0.25,6,N7,60.0
high,0.25,6,N8,60.0
high,0.25,6,N9,60.0
high,0.25,7,N1,60.0
high,0.25,7,N2,60.0
high,0.25,7,N3,60.0
high,0.25,7,N4,60.0
high,0.25,7,N5,60.0
high,0.25,7,N6,60.0
high,0.25,7,N7,60.0
high,0.25,7,N8,60.0
high,0.25,7,N9,60.0
high,0.25,8,N1,60.0
high,0.25,8,N2,60.0
high,0.25,8,N3,60.0
high,0.25,8,N4,60.0
high,0.25,8,N5,60.0
high,0.25,8,N6,60.0
high,0.25,8,N7,60.0
high,0.25,8,N8,60.0
high,0.25,8,N9,60.0
high,0.25,9,N1,60.0
high,0.25,9,N2,60.0
high,0.25,9,N3,60.0
high,0.25,9,N4,60.0
high,0.25,9,N5,60.0
high,0.25,9,N6,60.0
high,0.25,9,N7,60.0
high,0.25,9,N8,60.0
high,0.25,9,N9,60.0
high,0.25,10,N1,52.2
high,0.25,10,N2,52.2
high,0.25,10,N3,52.2
high,0.25,10,N4,52.2
high,0.25,10,N5,52.2
high,0.25,10,N6,52.2
high,0.25,10,N7,52.2
high,0.25,10,N8,52.2
high,0.25,10,N9,52.2
high,0.25,11,N1,60.0
high,0.25,11,N2,52.2
high,0.25,11,N3,46.72097560975611
high,0.25,11,N4,60.0
high,0.25,11,N5,57.30487804878049
high,0.25,11,N6,41.3307317073171
high,0.25,11,N7,52.2
high,0.25,11,N8,49.91707317073171
high,0.25,11,N9,46.72097560975611
high,0.25,12,N1,52.19999999999998
high,0.25,12,N2,52.2
high,0.25,12,N3,15.980859177766945
high,0.25,12,N4,52.19999999999998
high,0.25,12,N5,52.2
high,0.25,12,N6,15.980859177766941
high,0.25,12,N7,52.2
high,0.25,12,N8,15.98085917776693
high,0.25,12,N9,15.980859177766941
high,0.25,13,N1,59.87101504334249
high,0.25,13,N2,52.2
high,0.25,13,N3,12.837613989275404
high,0.25,13,N4,59.87101504334249
high,0.25,13,N5,57.220461064951806
high,0.25,13,N6,7.536506032494039
high,0.25,13,N7,52.20000000000001
high,0.25,13,N8,15.980859177766938
high,0.25,13,N9,12.837613989275404
high,0.25,14,N1,44.52898495665755
high,0.25,14,N2,52.2
high,0.25,14,N3,10.67975122098558
high,0.25,14,N4,44.52898495665755
high,0.25,14,N5,47.17953893504825
high,0.25,14,N6,15.980859177766941
high,0.25,14,N7,52.199999999999996
high,0.25,14,N8,7.536506032494035
high,0.25,14,N9,10.679751220985576
high,0.25,15,N1,52.2
high,0.25,15,N2,52.2
high,0.25,15,N3,15.980859177766938
high,0.25,15,N4,52.2
high,0.25,15,N5,52.20000000000001
high,0.25,15,N6,15.980859177766941
high,0.25,15,N7,52.199999999999996
high,0.25,15,N8,15.980859177766938
high,0.25,15,N9,15.980859177766941
high,0.25,16,N1,60.0
high,0.25,16,N2,52.2
high,0.25,16,N3,21.371103080205962
high,0.25,16,N4,60.0
high,0.25,16,N5,57.304878048780495
high,0.25,16,N6,15.980859177766941
high,0.25,16,N7,52.20000000000001
high,0.25,16,N8,24.567200641181554
high,0.25,16,N9,21.371103080205962
high,0.25,17,N1,52.2
high,0.25,17,N2,52.2
high,0.25,17,N3,52.2
high,0.25,17,N4,52.2
high,0.25,17,N5,52.2
high,0.25,17,N6,52.2
high,0.25,17,N7,52.2
high,0.25,17,N8,52.2
high,0.25,17,N9,52.2
high,0.25,18,N1,60.0
high,0.25,18,N2,60.0
high,0.25,18,N3,60.0
high,0.25,18,N4,60.0
high,0.25,18,N5,60.0
high,0.25,18,N6,60.0
high,0.25,18,N7,60.0
high,0.25,18,N8,60.0
high,0.25,18,N9,60.0
high,0.25,19,N1,60.0
high,0.25,19,N2,60.0
high,0.25,19,N3,60.0
high,0.25,19,N4,60.0
high,0.25,19,N5,60.0
high,0.25,19,N6,60.0
high,0.25,19,N7,60.0
high,0.25,19,N8,60.0
high,0.25,19,N9,60.0
high,0.25,20,N1,60.0
high,0.25,20,N2,60.0
high,0.25,20,N3,60.0
high,0.25,20,N4,60.0
high,0.25,20,N5,60.0
high,0.25,20,N6,60.0
high,0.25,20,N7,60.0
high,0.25,20,N8,60.0
high,0.25,20,N9,60.0
high,0.25,21,N1,60.0
high,0.25,21,N2,60.0
high,0.25,21,N3,60.0
high,0.25,21,N4,60.0
high,0.25,21,N5,60.0
high,0.25,21,N6,60.0
high,0.25,21,N7,60.0
high,0.25,21,N8,60.0
high,0.25,21,N9,60.0
high,0.25,22,N1,60.0
high,0.25,22,N2,60.0
high,0.25,22,N3,60.0
high,0.25,22,N4,60.0
high,0.25,22,N5,60.0
high,0.25,22,N6,60.0
high,0.25,22,N7,60.0
high,0.25,22,N8,60.0
high,0.25,22,N9,60.0
high,0.25,23,N1,60.0
high,0.25,23,N2,60.0
high,0.25,23,N3,60.0
high,0.25,23,N4,60.0
high,0.25,23,N5,60.0
high,0.25,23,N6,60.0
high,0.25,23,N7,60.0
high,0.25,23,N8,60.0
high,0.25,23,N9,60.0
high,0.25,24,N1,60.0
high,0.25,24,N2,60.0
high,0.25,24,N3,60.0
high,0.25,24,N4,60.0
high,0.25,24,N5,60.0
high,0.25,24,N6,60.0
high,0.25,24,N7,60.0
high,0.25,24,N8,60.0
high,0.25,24,N9,60.0
