scenario,probability,hour,line,upper_dual_abs,lower_dual_abs
high,0.25,3,L72,0.0,0.0
high,0.25,4,L72,0.0,0.0
high,0.25,5,L72,0.0,0.0
high,0.25,6,L72,0.0,0.0
high,0.25,7,L72,0.0,0.0
high,0.25,8,L72,0.0,0.0
high,0.25,9,L72,0.0,0.0
high,0.25,10,L72,0.0,0.0
high,0.25,11,L72,0.0,0.0
high,0.25,12,L72,0.0,0.0
high,0.25,13,L72,0.0,0.0
high,0.25,14,L72,0.0,0.0
high,0.25,15,L72,0.0,0.0
high,0.25,16,L72,0.0,0.0
high,0.25,17,L72,0.0,0.0
high,0.25,18,L72,0.0,0.0
high,0.25,19,L72,0.0,0.0
high,0.25,20,L72,0.0,0.0
high,0.25,21,L72,0.0,0.0
high,0.25,22,L72,0.0,0.0
high,0.25,23,L72,0.0,0.0
high,0.25,24,L72,0.0,0.0
high,0.25,1,L98,0.0,0.0
high,0.25,2,L98,0.0,0.0
high,0.25,3,L98,0.0,0.0
high,0.25,4,L98,0.0,0.0
high,0.25,5,L98,0.0,0.0
high,0.25,6,L98,0.0,0.0
high,0.25,7,L98,0.0,0.0
high,0.25,8,L98,0.0,0.0
high,0.25,9,L98,0.0,0.0
high,0.25,10,L98,0.0,0.0
high,0.25,11,L98,0.0,0.0
high,0.25,12,L98,0.0,0.0
high,0.25,13,L98,0.0,0.0
high,0.25,14,L98,0.0,0.0
high,0.25,15,L98,0.0,0.0
high,0.25,16,L98,0.0,0.0
high,0.25,17,L98,0.0,0.0
high,0.25,18,L98,0.0,0.0
high,0.25,19,L98,0.0,0.0
high,0.25,20,L98,0.0,0.0
high,0.25,21,L98,0.0,0.0
high,0.25,22,L98,0.0,0.0
high,0.25,23,L98,0.0,0.0
high,0.25,24,L98,0.0,0.0
high,0.25,1,L78,0.0,0.0
high,0.25,2,L78,0.0,0.0
high,0.25,3,L78,0.0,0.0
high,0.25,4,L78,0.0,0.0
high,0.25,5,L78,0.0,0.0
high,0.25,6,L78,0.0,0.0
high,0.25,7,L78,0.0,0.0
high,0.25,8,L78,0.0,0.0
high,0.25,9,L78,0.0,0.0
high,0.25,10,L78,0.0,0.0
high,0.25,11,L78,0.0,0.0
high,0.25,12,L78,0.0,36.219140822233086
