iteration,investor,proximal_coefficient_eur_per_mw2_day,unpenalized_profit_eur_per_day,proximal_penalty_eur_per_day,strategic_epsilon_penalty,epsilon_penalty_eur_per_day,penalized_objective_eur_per_day
9,I4,0.0,99362.62080853108,0.0,0.0,0.0,99362.62080853108
10,I1,0.0,10001.645208291358,0.0,0.0,0.0,10001.645208291358
10,I2,0.0,8206.224857342482,0.0,0.0,0.0,8206.224857342482
10,I3,0.0,105614.55948317047,0.0,0.0,0.0,105614.55948317047
10,I4,0.0,101533.64658491952,0.0,0.0,0.0,101533.64658491952
11,I1,1.0,14367.376344961227,1566.2117250694544,0.0,0.0,12801.164619891773
11,I2,1.0,12383.494938945907,1981.4057320129543,0.0,0.0,10402.089206932953
11,I3,1.0,110505.84869146417,152.3174446476997,0.0,0.0,110353.53124681646
11,I4,1.0,119022.31723575397,113.02281519155683,0.0,0.0,118909.29442056242
12,I1,1.0,13849.939251593827,799.0208281305731,0.0,0.0,13050.918423463254
12,I2,1.0,10160.707438643138,576.0717197992436,0.0,0.0,9584.635718843894
12,I3,1.0,114768.43342338417,2077.41517476558,0.0,0.0,112691.01824861858
12,I4,1.0,163331.62466399503,5051.31139475447,0.0,0.0,158280.31326924055
13,I1,1.0,10356.176278390893,621.9498444896826,0.0,0.0,9734.22643390121
13,I2,1.0,6541.236209453594,193.70423906042424,0.0,0.0,6347.531970393169
13,I3,1.0,115691.37893213777,1247.6322100987327,0.0,0.0,114443.74672203904
13,I4,1.0,167512.4221307212,2451.505221912904,0.0,0.0,165060.9169088083
14,I1,1.0,7352.560806209499,314.7319475912001,0.0,0.0,7037.828858618299
14,I2,1.0,4928.747927301703,98.83095298522464,0.0,0.0,4829.916974316478
14,I3,1.0,114911.11144890697,209.42215639711694,0.0,0.0,114701.68929250985
14,I4,1.0,166229.75026789008,746.3976488060748,0.0,0.0,165483.352619084
15,I1,1.0,5589.495174957402,207.60880292172476,0.0,0.0,5381.886372035678
15,I2,1.0,3614.2832482007743,72.46533345928879,0.0,0.0,3541.8179147414858
15,I3,1.0,117087.53681164145,205.19371620788345,0.0,0.0,116882.34309543356
15,I4,1.0,186014.1692071408,3363.706005283313,0.0,0.0,182650.4632018575
16,I1,2.0,3102.912049471217,188.52938339380344,0.0,0.0,2914.3826660774134
16,I2,2.0,1737.8965738035836,93.59328587074754,0.0,0.0,1644.3032879328362
16,I3,2.0,119560.3169423924,85.17510970679086,0.0,0.0,119475.14183268561
16,I4,2.0,186239.09627044635,3868.608430978392,0.0,0.0,182370.48783946794
17,I1,2.0,1930.7130525106134,159.6639681704389,0.0,0.0,1771.0490843401744
17,I2,2.0,1021.0293142212477,116.1479391098631,0.0,0.0,904.8813751113846
17,I3,2.0,120373.14676710084,9.084011541404086,0.0,0.0,120364.06275555944
17,I4,2.0,181265.37014180643,1863.3513671212725,0.0,0.0,179402.01877468516
18,I1,2.0,1466.8976598934164,139.9672488410908,0.0,0.0,1326.9304110523256
18,I2,2.0,883.6064791822505,119.60942843308169,0.0,0.0,763.9970507491688
18,I3,2.0,120784.1418485783,26.992364426199767,0.0,0.0,120757.1494841521
18,I4,2.0,185305.16977413307,2085.66148192015,0.0,0.0,183219.5082922129
19,I1,2.0,1192.7938034986043,109.78255287543728,0.0,0.0,1083.0112506231671
19,I2,2.0,929.9929379304579,115.17527446705883,0.0,0.0,814.8176634633991
19,I3,2.0,121666.42652460367,4.702673959392923,0.0,0.0,121661.72385064428
19,I4,2.0,181205.6669569443,1110.2770059050886,0.0,0.0,180095.38995103922
20,I1,2.0,870.1460969104173,97.10087250533275,0.0,0.0,773.0452244050846
20,I2,2.0,719.9200170137394,80.81744908473023,0.0,0.0,639.1025679290092
20,I3,2.0,121532.96279923368,5.01514259705007,0.0,0.0,121527.94765663662
