investor,hour,node,lambda_best_response_eur_per_mwh,lambda_joint_eur_per_mwh,difference_eur_per_mwh
I3,2,N2,59.99985048993535,59.99988748554361,-3.6995608262202495e-05
I3,2,N3,59.999850490047194,59.999887488434055,-3.699838686088697e-05
I3,2,N4,59.99985049008339,59.99988748924698,-3.699916359067856e-05
I3,2,N5,59.999850490087816,59.99988748937085,-3.6999283032912444e-05
I3,2,N6,59.99985049007485,59.99988748906964,-3.6998994794146256e-05
I3,2,N7,59.999850490021,59.99988748770593,-3.6997684929929164e-05
I3,2,N8,59.999850490049354,59.99988748845197,-3.699840261361942e-05
I3,2,N9,59.99985049005116,59.999887488522006,-3.6998470847038334e-05
I3,3,N1,60.00000058821891,59.99999983273213,7.554867806902621e-07
I3,3,N2,60.00000058808798,59.99999982943012,7.586578618656858e-07
I3,3,N3,60.00000058821996,59.999999832764225,7.554557370781367e-07
I3,3,N4,60.00000058823275,59.99999983308337,7.551493794721864e-07
I3,3,N5,60.00000058823702,59.99999983319229,7.550447307380637e-07
I3,3,N6,60.00000058823214,59.99999983307012,7.551620200274556e-07
I3,3,N7,60.00000058817363,59.99999983159243,7.565811941390166e-07
I3,3,N8,60.0000005882081,59.99999983246377,7.557443311156931e-07
I3,3,N9,60.00000058821997,59.999999832764225,7.554557441835641e-07
I3,4,N1,60.000000588013286,59.99999972071066,8.67302624385502e-07
I3,4,N2,60.00000058788436,59.9999997174605,8.704238609880122e-07
I3,4,N3,60.00000058801863,59.999999720852635,8.671659941228427e-07
I3,4,N4,60.000000588027426,59.99999972106977,8.669576558872905e-07
I3,4,N5,60.00000058803169,59.99999972117854,8.668531492617149e-07
I3,4,N6,60.00000058802839,59.99999972109715,8.669312450138023e-07
I3,4,N7,60.00000058797001,59.999999719622814,8.683471932613429e-07
I3,4,N8,60.000000588008426,59.999999720594346,8.674140801190333e-07
I3,4,N9,60.00000058801864,59.999999720852635,8.6716600122827e-07
I3,5,N1,59.999852063332284,59.99988864190437,-3.6578572085943506e-05
I3,5,N2,59.99985206319921,59.999888638594115,-3.657539490831141e-05
