sweep,order,all_updates_optimal,all_audits_optimal,max_update_power_mw,max_update_energy_mwh,max_update_offer_mw,max_nash_power_mw,max_nash_energy_mwh,max_nash_offer_mw,max_profitable_deviation_eur_per_day,max_lmp_reclear_gap_eur_per_mwh,max_embedded_reclear_profit_gap_eur_per_day,max_complementarity_violation,stable_sweeps,power_I1_mw,energy_I1_mwh,profit_I1_eur_per_day,power_I2_mw,energy_I2_mwh,profit_I2_eur_per_day,power_I3_mw,energy_I3_mwh,profit_I3_eur_per_day,power_I4_mw,energy_I4_mwh,profit_I4_eur_per_day
11,I3->I4->I1->I2,True,False,0.11945310495993589,0.34550120296298026,0.20439452341553555,0.1206117363586312,0.222216001531514,0.17798694589033204,548.9103284129596,0.0011960580034013901,0.026910223753475293,4.034825511635369e-10,0,6.173264141909966,12.39028220145601,29.275600858593663,7.017621331916415,14.07899658110815,7.670987085225434,7.994157340406598,16.147637372446003,3358.627146528072,9.182568295425224,18.43245055786707,5026.393250303625
12,I4->I1->I2->I3,True,False,0.1206117363586312,0.22157724260518386,0.17798694589033204,0.13182568879302892,0.2198976599777609,0.16695626492443694,598.8966141777646,0.001166203914706898,0.0056995671506427925,1.2556685123546915e-09,0,6.147484501005337,12.323409049097691,39.949569010427,7.000863538483958,14.030167123693062,19.957692885267207,7.983262730711094,16.070085337534188,3369.2704682326566,9.224782403150744,18.493318885485877,4975.628814420736
13,I1->I2->I3->I4,False,False,0.1388978470854738,0.23404161676824842,0.17619173314793635,0.09028955538627592,0.22708391427801722,0.11236733013626754,409.5017916211382,0.0011743995320401268,0.011074840249420959,5.869451836977734e-10,0,6.147484501005337,12.323409049097691,0.3229974324871705,6.993784089005883,14.006054208879307,-25.068438666266815,7.983262730711094,16.070085337534188,3330.920205819528,9.27339664963066,18.575233451354762,5164.917507122117
14,I2->I3->I4->I1,False,True,0.06176181396055824,0.18386156898890782,0.06176185339306439,0.13508233684766324,0.2417248831787795,0.15716004700560937,612.5739181845074,0.0011583942270689818,0.005748822089486794,2.206073300769507e-10,0,6.138352760433403,12.295191552096952,43.06250605892593,6.972167454119688,13.95635082879946,23.53694600289235,7.969209871182684,16.00573378838807,3372.408070846618,9.27339664963066,18.575233451354762,4961.173917638558
15,I3->I4->I1->I2,True,False,0.14101311370357905,0.2535860770954095,0.165254139628642,0.1265244272830799,0.23456311665662355,0.14011778394960928,572.7462781241575,0.0011370154582124314,0.005868265283027085,6.75723515273098e-10,0,6.117222250708968,12.246460422341102,34.83778436701566,6.958431641125823,13.924673631111888,14.290228334649285,7.96327181463042,15.970297885727488,3364.641266911565,9.322751239426914,18.663988578338156,5000.390231430786
16,I4->I1->I2->I3,False,False,0.1265244272830799,0.23456311665662355,0.14011778394960928,0.010783419794337945,0.06532073447697329,0.010909567398426745,11.60387639198784,0.0011269103322817386,0.005928390053639987,4.4018361999357164e-10,0,6.108294666006311,12.224399681236267,48.777568263230464,6.952628340813645,13.910333408882646,30.194349656163965,7.96327181463042,15.970297885727488,3378.1971841212803,9.322751239426914,18.663988578338156,4933.511316386461
17,I1->I2->I3->I4,True,True,0.1490706425847783,0.279655547265552,0.16266396453816334,0.09688975693113733,0.1817634244259878,0.10788876141942261,437.80486733922953,0.001108984617509634,0.02464554690050136,2.0615758223317465e-11,0,6.104522769320138,12.214122266259238,6.7427599559214,6.950176438524689,13.90365275026156,-17.645319015317867,7.961676027867723,15.951792448991727,3337.4711966505674,9.374925964331586,18.7618680198811,5134.972570461857
18,I2->I3->I4->I1,False,False,0.11618270022769117,0.22034931101912036,0.12718170457563005,0.10229306297712348,0.19677602760786073,0.10727913679111545,461.5379339583833,0.0010454668393933275,0.005569389741140185,5.359210099694856e-10,0,6.077749352479529,12.158798578534949,11.825491720560592,6.930880066911717,13.863905051907537,-11.770828175419254,7.961676027867723,15.951792448991727,3342.4449717299826,9.415589909411278,18.83899027873779,5110.570680758594
19,I3->I4->I1->I2,False,True,0.10229306297712348,0.19677602760786073,0.10727913679111545,0.1309966140806793,0.254182770027807,0.1381459667989553,591.0419609193232,0.0010724659576339945,0.022975316459451278,3.8546338211125613e-10,0,6.060346665255933,12.122838248959773,38.8078778833047,6.9195676200846545,13.84052943742017,19.09189171875734,7.961676027867723,15.951792448991727,3368.8626119772234,9.415589909411278,18.83899027873779,4980.616343014236
20,I4->I1->I2->I3,True,False,0.1309966140806793,0.254182770027807,0.1381459667989553,0.13364029563090796,0.2622041532698738,0.1361240448545029,601.9932966217339,0.0010470540119342786,0.006290004581302355,8.367728891351395e-10,0,6.036947909879107,12.075290017372922,41.14457790744402,6.904357495280112,13.80962121926947,21.89118123669853,7.951789374230762,15.922065004701693,3371.292039980209,9.461438724339516,18.92795424824752,4968.958856983916
