iteration,investor,termination,solve_seconds,optimistic_mpec_profit_eur_per_day,max_access_shadow_price_eur_per_mw_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,max_undamped_delta_power_mw
5,I2,optimal,18.892015099991113,2036.3677233705107,1.0119231599907794e-06,0.001026702462695539,31.109506526319887,77.87164265688756,0.9988870073115317,0.9963876148053822,7.292780317937937
5,I3,optimal,43.923459699959494,145025.07877925318,111.74952725776296,0.002741770585998893,106.45215950157574,268.25978734437143,0.6999895443212356,0.6999905971432177,11.655070756110746
5,I4,optimal,46.64340910001192,238058.99716257662,73.33543210503717,0.0027716404874809086,176.76646325576763,390.70334424295356,9.817591579114483,9.817591577215419,18.41797402260127
6,I1,optimal,48.444362799986266,159.8825881479109,15.903809390681111,0.001032198779284954,4.713137056390362,11.505753625138633,0.6999834120990623,0.6999832670435847,3.9596334437605147
6,I2,optimal,50.185861699981615,2189.6771406194202,63.9805710183153,0.0024674323212821037,33.00482251995026,74.68844030980783,1.073580609381378,1.5224615736491016,1.5336865848305399
6,I3,optimal,18.929534399998374,143691.8941895031,107.62625132483129,0.0025448281376156956,114.96011523715671,282.5960731107379,4.2400197099150185,3.9863529555354393,7.192256524211711
6,I4,optimal,45.262593000079505,195764.02747889614,78.55230588580872,0.002929990558186546,181.08369624902454,376.19431452916365,0.27277809575576306,0.2727780713217546,3.913979034065955
7,I1,optimal,54.7448485000059,285.53568536029564,76.29657250737621,0.0004681309510488063,7.362214331603143,15.886651720764432,1.083673401263999,1.0836733857839984,1.5541647779126322
7,I2,optimal,19.882887099985965,1951.2700297131905,42.1915987795052,0.0016974990721791983,30.361234967328077,65.65484664552504,0.6999347749133337,0.6999532381630293,1.5365069766952857
7,I3,optimal,59.00491030002013,139372.75946437716,104.3763761274164,0.0027815116045530885,118.06275802796642,300.8749131699609,0.1099124097085851,0.4371165549738545,2.9149799354831565
7,I4,optimal,29.11184649995994,235599.07554480713,93.00906925034707,0.0027926730981562287,189.96014501028077,387.0345725444905,8.713668093547046,8.713668353611343,12.448097276495782
8,I1,optimal,59.29296369990334,195.88271308240112,27.198479121776796,0.0002934911462944001,4.503824263557055,10.717954451791984,0.6999757036325774,0.6999754595374805,2.275820216924658
8,I2,optimal,61.149062799988315,2031.3837018541712,12.111685221957458,0.0020097710948903114,29.32568677153993,60.1311444349441,0.4298609032488613,0.4297939076269047,1.5229781503091147
8,I3,optimal,60.44369929993991,142006.60061353928,83.57523025242075,0.0018958018044941127,118.24441150920939,304.4450808781001,0.03464861736378552,0.021462984608027022,1.0951697368171196
8,I4,optimal,26.052162899984978,234616.766547689,48.826794584712424,0.0028925973747391254,189.54519720493482,384.15305559110715,0.03312709957003403,0.03312709630099036,0.5976094049925624
9,I1,optimal,13.884115399909206,66.95493979383973,0.0002775375646229342,0.002260535577079281,2.7932323916675776,6.099562508005031,0.6999241796655166,0.6999237123618979,1.084477853246617
9,I2,optimal,38.259547799942084,2014.3944339456718,1.1019759530034353e-05,0.00173855759203434,27.50677343706098,57.68013024014094,0.37291820844492307,0.37293826221211784,1.3911604134426097
9,I3,optimal,35.22261499997694,141626.62383505213,80.10788860139145,0.002518299064831808,119.05414758019084,306.3547280826415,0.16735844312450082,0.16713237738474035,2.105547551219182
9,I4,optimal,19.146701400051825,236655.54267788213,92.33514454748853,0.0028444357158150524,191.7480955923982,387.9532847770831,0.3524679207332688,0.35246787316704736,4.4799766683044755
