iteration,investor,proximal_coefficient_eur_per_mw2_day,unpenalized_profit_eur_per_day,proximal_penalty_eur_per_day,strategic_epsilon_penalty,epsilon_penalty_eur_per_day,penalized_objective_eur_per_day
8,I4,1.0,238298.09927577217,29.461252669149275,1e-06,0.04886614161761178,238268.5891569614
8,I3,1.0,151240.6778936794,16.83637287894293,1e-06,1.7205402185731786,151222.1209805819
8,I1,1.0,-0.008997618446681422,0.05122501618706206,1e-06,0.023787474771246424,-0.0840101094049899
9,I2,1.0,-0.008976470531677076,0.03384643172691288,1e-06,0.02374117923380952,-0.06656408149239948
9,I4,1.0,237952.60505310245,27.94254600171338,1e-06,0.04728984872650924,237924.61521725202
9,I3,1.0,150790.42760527646,83.94431066360549,1e-06,1.7356247991519245,150704.74766981372
9,I1,1.0,9.250164165547359e-05,0.0036466708988942323,1e-06,0.02385089466115213,-0.027405063918390888
10,I2,1.0,-0.005958506164833791,0.0031005299337091164,1e-06,0.02406180601448484,-0.033120842113027744
10,I4,1.0,238508.99990880385,2.1397496140430463,1e-06,0.04851948479980733,238506.811639705
10,I3,1.0,151570.08814799562,25.404408782198278,1e-06,1.683242934657573,151543.00049627875
10,I1,1.0,-0.008934869463130244,0.0008717317837788763,1e-06,0.02403211036792273,-0.03383871161483185
11,I2,2.0,-0.008735231320143377,0.0006233096420017573,1e-06,0.02413097350632821,-0.03348951446847334
11,I4,2.0,238718.81168064446,11.341393244500663,1e-06,0.0488090000356064,238707.42147839992
11,I3,2.0,151950.9650901622,25.104334412333998,1e-06,1.5066502277068803,151924.35410552216
11,I1,2.0,-0.004809444680242376,0.0005341029750469013,1e-06,0.024073279000337323,-0.0294168266556266
12,I2,2.0,-0.008794161447269092,0.00015460872314300236,1e-06,0.024074434386840468,-0.033023204557252564
12,I4,2.0,238633.5109087912,6.380289559555413,1e-06,0.048627515081174945,238627.08199171658
12,I3,2.0,151991.12213199981,21.231566308358907,1e-06,1.4958588455211717,151968.39470684592
12,I1,2.0,-0.008824383892414214,0.00011914670190016303,1e-06,0.024069035388906347,-0.03301256598322072
13,I2,2.0,-0.00881186226255461,0.00011051474808749156,1e-06,0.024077507627958225,-0.032999884638600326
13,I4,2.0,238770.99003449114,3.395798657512409,1e-06,0.04801927363611535,238767.54621656
13,I3,2.0,152122.80519782373,52.10609880972693,1e-06,1.4661132109944361,152069.232985803
13,I1,2.0,-0.006084087111055365,0.00012640099668658177,1e-06,0.023983051507232234,-0.03019353961497418
14,I2,2.0,-0.0077122139433576774,0.006183358357401591,1e-06,0.025686462266248516,-0.03958203456700778
14,I4,2.0,238190.62413323097,3.0756823225495245,1e-06,0.047224407192074165,238187.50122650122
14,I3,2.0,151435.7474431643,8.075988272145706,1e-06,1.4565198160157955,151426.21493507613
14,I1,2.0,-0.008942094397820646,0.00010189872571023995,1e-06,0.024068387373807332,-0.033112380497338216
15,I2,2.0,-0.005314442049755923,7.901466056135313e-05,1e-06,0.0241037169129706,-0.029497173623287874
15,I4,2.0,238226.98856560717,1.740856546439215,1e-06,0.047015920727731406,238225.20069314
15,I3,2.0,151333.7540474345,8.397612822684504,1e-06,1.4468347089523235,151323.90959990284
15,I1,2.0,-0.009430439202156762,0.00011054174467430946,1e-06,0.024058023031899287,-0.033599003978730356
16,I2,3.0,-0.008635601978639692,7.888735329880976e-05,1e-06,0.024154907235630754,-0.03286939656756926
16,I4,3.0,238644.83573540903,4.458979648045434,1e-06,0.04796906289392929,238640.32878669808
16,I3,3.0,151903.0522294357,5.587538418905574,1e-06,1.4415863959894724,151896.0231046208
16,I1,3.0,-0.0035897880922206088,0.003418530088773738,1e-06,0.025262046764392348,-0.032270364945386695
17,I2,3.0,-0.00880039749906417,7.007856123158024e-05,1e-06,0.024152706625535588,-0.03302318268583134
17,I4,3.0,238703.69326211367,2.2434055997496185,1e-06,0.04775457349594306,238701.40210194042
17,I3,3.0,152662.7170739832,20.78392990394317,1e-06,1.435343404289777,152640.49780067496
17,I1,3.0,-0.006136950833285703,3.209341656538643e-05,1e-06,0.024208310484833687,-0.030377354734684777
