investor,node,hour,installed_power_mw,charge_bid_mw,discharge_bid_mw
I1,N6,10,11.009898237356197,4.85476414609464,2.2972360416925457e-07
I1,N6,11,11.009898237356197,5.357191781289928,2.1341428906588513e-07
I1,N6,12,11.009898237356197,11.002934891929838,2.2010951550513092e-07
I1,N6,13,11.009898237356197,11.009898157960375,3.144920504706616
I1,N6,14,11.009898237356197,10.914841026721675,4.038016537628346
I1,N6,15,11.009898237356197,5.509200428442274,4.451358072690564
I1,N6,16,11.009898237356197,1.5985894057961296,4.779725618421253
I1,N6,17,11.009898237356197,1.81965589085029e-07,2.1228319776670994
I1,N6,18,11.009898237356197,1.9897364786172776e-07,0.14980503084889768
I1,N6,19,11.009898237356197,0.06935029677817435,7.850073501185118
I1,N6,20,11.009898237356197,2.979733980741597,6.547488263554991
I1,N6,21,11.009898237356197,4.167131173057891,7.799712156113373
I1,N6,22,11.009898237356197,4.776995055403711,2.996887136855731
I1,N6,23,11.009898237356197,4.798883242785541,0.3373990172908355
I1,N6,24,11.009898237356197,4.775558670198883,0.16021896506130948
I1,N7,1,2.2022795976658946e-06,1.3109413664287771e-06,1.2400895761361807e-06
I1,N7,2,2.2022795976658946e-06,1.312870756092396e-06,1.2378595271707016e-06
I1,N7,3,2.2022795976658946e-06,1.314856702321902e-06,1.2358692611059105e-06
I1,N7,4,2.2022795976658946e-06,1.3168969101919644e-06,1.2337214423468191e-06
I1,N7,5,2.2022795976658946e-06,1.3188978987689464e-06,1.2316730698072184e-06
I1,N7,6,2.2022795976658946e-06,1.3211246918592987e-06,1.2290265534435798e-06
I1,N7,7,2.2022795976658946e-06,1.3233176107729714e-06,1.2265431429519912e-06
I1,N7,8,2.2022795976658946e-06,1.3255997444005593e-06,1.2239314805918872e-06
I1,N7,9,2.2022795976658946e-06,1.3279879107798715e-06,1.221164865716688e-06
I1,N7,10,2.2022795976658946e-06,1.335105256609229e-06,1.2131383789507352e-06
I1,N7,11,2.2022795976658946e-06,1.3318541061811495e-06,1.2179550834113588e-06
I1,N7,12,2.2022795976658946e-06,1.3283598215424688e-06,1.2206895029605077e-06
I1,N7,13,2.2022795976658946e-06,1.3246626164621502e-06,1.22469354919809e-06
I1,N7,14,2.2022795976658946e-06,1.3207509655971252e-06,1.2295712861344303e-06
I1,N7,15,2.2022795976658946e-06,1.3166667508972657e-06,1.233081850825561e-06
I1,N7,16,2.2022795976658946e-06,1.3123610616390322e-06,1.2374838909571462e-06
I1,N7,17,2.2022795976658946e-06,1.3078212692971908e-06,1.2420382712555898e-06
I1,N7,18,2.2022795976658946e-06,1.2983304827817682e-06,1.250805030755838e-06
I1,N7,19,2.2022795976658946e-06,1.2999356281249019e-06,1.251062831499936e-06
I1,N7,20,2.2022795976658946e-06,1.3024080583033608e-06,1.2475239481058998e-06
I1,N7,21,2.2022795976658946e-06,1.3033606228629576e-06,1.2478811493348784e-06
I1,N7,22,2.2022795976658946e-06,1.305192242576938e-06,1.2460679339287348e-06
I1,N7,23,2.2022795976658946e-06,1.3070679984402105e-06,1.2441603188108144e-06
I1,N7,24,2.2022795976658946e-06,1.3089993959016193e-06,1.2421655447404958e-06
I1,N8,1,12.466900631862305,5.128329403139581,0.005264091703461916
I1,N8,2,12.466900631862305,5.1144341854932165,0.004745757535200388
I1,N8,3,12.466900631862305,5.099895722440866,0.002954764033267441
