hour,node,lambda_joint_eur_per_mwh
14,N6,48.506666584217804
14,N7,90.73217228466078
14,N8,14.67629135773294
14,N9,27.268986451803332
15,N1,59.99999975195843
15,N2,90.4246778271931
15,N3,27.59648037112704
15,N4,59.99999976197856
15,N5,70.5125918226236
15,N6,48.62166438587499
15,N7,90.4246778271931
15,N8,15.129783000234315
15,N9,27.59648036859968
16,N1,59.99999989138269
16,N2,83.91530227613795
16,N3,34.52923054375528
16,N4,59.99999990640239
16,N5,68.26341744239527
16,N6,51.05606550787584
16,N7,83.91530227613795
16,N8,24.729789570889157
16,N9,34.52923054375528
17,N1,60.0000000679445
17,N2,60.00000025164961
17,N3,60.000000052072195
17,N4,60.00000011887476
17,N5,60.00000026061933
17,N6,60.00000006905396
17,N7,60.00000025164961
17,N8,60.00000004073385
17,N9,60.000000052072195
18,N1,67.14999955497527
18,N2,67.15000005265478
18,N3,67.14999979971222
18,N4,67.14999971153188
18,N5,67.15000014538636
18,N6,67.14999973697202
18,N7,67.15000005265478
18,N8,67.14999987277871
18,N9,67.1499998058159
19,N1,67.14999775757394
19,N2,67.15000191698518
19,N3,67.1500000629769
19,N4,67.14999793243447
19,N5,67.15000331101443
19,N6,67.14999869353616
19,N7,67.15000191698518
19,N8,67.15000107612836
19,N9,67.15000009707119
20,N1,67.14999791517899
20,N2,67.15000207879211
20,N3,67.1500001680937
20,N4,67.14999811275258
20,N5,67.15000343789845
20,N6,67.14999885728382
20,N7,67.15000207879211
20,N8,67.15000128748143
20,N9,67.15000021595385
21,N1,67.14999985858373
21,N2,67.1500007432923
21,N3,67.15000015339172
21,N4,67.15000006969997
21,N5,67.15000087683327
21,N6,67.15000012158303
21,N7,67.1500007432923
21,N8,67.15000056918417
21,N9,67.1500001994301
22,N1,67.14999984013672
22,N2,67.15000029223367
22,N3,67.15000003803645
22,N4,67.1500000666545
22,N5,67.15000032234337
22,N6,67.15000007367671
22,N7,67.15000029223367
22,N8,67.15000021192256
22,N9,67.15000006617736
23,N1,67.14999974656132
23,N2,67.15000012387472
23,N3,67.1499999816742
23,N4,67.14999999075194
23,N5,67.15000013829528
23,N6,67.15000000276802
23,N7,67.15000012387472
23,N8,67.15000007584466
23,N9,67.14999999810662
24,N1,67.14999967282861
24,N2,67.15000003240338
24,N3,67.14999993502525
24,N4,67.14999992687092
24,N5,67.1500000407554
24,N6,67.1499999449619
24,N7,67.15000003240338
24,N8,67.14999999875128
24,N9,67.14999994559011
