hour,node,tier,wtp_eur_per_mwh,shed_mw,bound_mw,xi_shed_dual
3,N2,T07_1000,1000.0,-9.954441923565689e-09,2.3724000000000003,-8.39626787095713e-09
3,N2,T08_1300,1300.0,-9.96530658209065e-09,2.3724000000000003,-8.396267870887296e-09
3,N2,T09_1600,1600.0,-9.971987083114234e-09,2.3724000000000003,-8.396267870844323e-09
3,N2,T10_2000,2000.0,-9.977709929892096e-09,2.3724000000000003,-8.396267870807485e-09
3,N2,T_VOLL,10000.0,-9.995617249048802e-09,213.51600000000002,9.795597023659243e-09
3,N3,T01_100,100.0,-9.247149893576416e-09,2.3724000000000003,-8.396267875356702e-09
3,N3,T02_200,200.0,-9.723725447017014e-09,2.3724000000000003,-8.396267872423657e-09
3,N3,T03_300,300.0,-9.83082073735279e-09,2.3724000000000003,-8.396267871746798e-09
3,N3,T04_450,450.0,-9.893023450895173e-09,2.3724000000000003,-8.396267871350588e-09
3,N3,T05_600,600.0,-9.921782093851303e-09,2.3724000000000003,-8.396267871166635e-09
3,N3,T06_800,800.0,-9.942420859483482e-09,2.3724000000000003,-8.396267871034321e-09
3,N3,T07_1000,1000.0,-9.9544419235656e-09,2.3724000000000003,-8.396267870957133e-09
3,N3,T08_1300,1300.0,-9.965306582090597e-09,2.3724000000000003,-8.396267870887301e-09
3,N3,T09_1600,1600.0,-9.9719870831142e-09,2.3724000000000003,-8.396267870844327e-09
3,N3,T10_2000,2000.0,-9.977709929892074e-09,2.3724000000000003,-8.396267870807486e-09
3,N3,T_VOLL,10000.0,-9.9956172490488e-09,213.51600000000002,9.795597023659243e-09
3,N4,T01_100,100.0,-9.247149893598773e-09,2.3724000000000003,-8.39626787535673e-09
3,N4,T02_200,200.0,-9.723725447020025e-09,2.3724000000000003,-8.396267872423685e-09
3,N4,T03_300,300.0,-9.83082073735392e-09,2.3724000000000003,-8.396267871746828e-09
3,N4,T04_450,450.0,-9.893023450895625e-09,2.3724000000000003,-8.396267871350618e-09
3,N4,T05_600,600.0,-9.921782093851544e-09,2.3724000000000003,-8.396267871166667e-09
