investor,hour,node,lambda_best_response_eur_per_mwh,lambda_joint_eur_per_mwh,difference_eur_per_mwh
I1,5,N4,60.00000054958818,59.999999983019926,5.665682536459826e-07
I1,5,N5,60.000000550069686,59.99999998323151,5.668381746204432e-07
I1,5,N6,60.00000054976622,59.99999998310106,5.666651574642856e-07
I1,5,N7,60.000000545543294,59.999999981262434,5.64280860260169e-07
I1,5,N8,60.000000548376455,59.999999982497975,5.658784800743888e-07
I1,5,N9,60.000000549093585,59.9999999828106,5.662829849484297e-07
I1,6,N1,60.000000582615016,59.99999999682904,5.857859761704276e-07
I1,6,N2,60.000000574628224,59.99999999335968,5.812685444084309e-07
I1,6,N3,60.000000584354645,59.999999997596305,5.867583396934606e-07
I1,6,N4,60.00000058436909,59.99999999759629,5.867727992381333e-07
I1,6,N5,60.00000058539522,59.99999999804532,5.873499020481177e-07
I1,6,N6,60.000000584868644,59.999999997817454,5.870511898820041e-07
I1,6,N7,60.00000058097254,59.9999999961213,5.848512358852531e-07
I1,6,N8,60.00000058376293,59.999999997338136,5.864247967224401e-07
I1,6,N9,60.0000005843552,59.999999997596305,5.867588939167945e-07
I1,7,N1,59.94107140842543,59.98135788225813,-0.04028647383270112
I1,7,N2,59.941071396001135,59.98135787598322,-0.04028647998208612
I1,7,N3,59.9410714034536,59.981357879603344,-0.040286476149745454
I1,7,N4,59.94107140921089,59.9813578826,-0.04028647338910929
I1,7,N5,59.94107140984851,59.98135788267953,-0.0402864728310206
I1,7,N6,59.94107140528466,59.981357881668714,-0.040286476384054026
I1,7,N7,59.94107140234544,59.98135787874484,-0.040286476399394644
I1,7,N8,59.941071401939574,59.98135787822022,-0.04028647628064874
I1,7,N9,59.94107140345415,59.981357879603344,-0.04028647614919123
I1,8,N1,60.00000055658983,59.99387452558689,0.006126031002942511
I1,8,N2,60.000000542988865,59.99387451874826,0.006126024240607819
I1,8,N3,60.00000054870456,59.99387452102777,0.006126027676792489
I1,8,N4,60.00000055745021,59.99387452587,0.006126031580208746
I1,8,N5,60.000000558497064,59.993874526103234,0.006126032393829917
I1,8,N6,60.0000005490947,59.993874521262406,0.006126027832294767
I1,8,N7,60.00000054933318,59.99387452150988,0.006126027823299296
I1,8,N8,60.00000054807754,59.993874520699364,0.006126027378172694
I1,8,N9,60.00000054870512,59.99387452102777,0.006126027677346713
I1,9,N1,59.94055113673397,59.98897211700093,-0.04842098026695396
I1,9,N2,59.94055111646002,59.98897210763595,-0.048420991175930794
I1,9,N3,59.940551122847225,59.9889721079564,-0.04842098510917481
I1,9,N4,59.94055113725408,59.98897211722724,-0.04842097997315875
I1,9,N5,59.94055113755147,59.98897211674251,-0.04842097919103594
I1,9,N6,59.940551127366284,59.98897210620967,-0.048420978843388696
I1,9,N7,59.94055112280434,59.988972110397576,-0.04842098759323932
I1,9,N8,59.94055111986433,59.98897210881665,-0.048420988952315724
I1,9,N9,59.94055112284778,59.9889721079564,-0.048420985108620584
I1,10,N1,52.20000053706417,52.200000010967514,5.260966560172164e-07
I1,10,N2,52.20000051996978,52.200000003508976,5.164608012364624e-07
I1,10,N3,52.20000051707654,52.20000000226235,5.14814189500612e-07
I1,10,N4,52.200000537495065,52.200000011155,5.263400666422058e-07
I1,10,N5,52.20000053655593,52.20000001074506,5.258108757288937e-07
I1,10,N6,52.20000051546506,52.200000001562316,5.139027408063157e-07
I1,10,N7,52.20000052324837,52.20000000494234,5.183060309832399e-07
I1,10,N8,52.200000517589054,52.200000002481495,5.151075583853526e-07
I1,10,N9,52.20000051707702,52.20000000226235,5.148146726696723e-07
I1,11,N1,60.000000580187475,59.99999999575663,5.844308432756407e-07
I1,11,N2,52.20000044691433,52.19999997169244,4.752218885073489e-07
I1,11,N3,42.06553723016353,42.51007972078373,-0.4445424906202007
I1,11,N4,60.000000581105645,59.99999999615757,5.849480757547099e-07
I1,11,N5,57.30487858769151,57.304878038303734,5.493877779372269e-07
I1,11,N6,36.675293235728674,37.11983580175337,-0.444542566024694
I1,11,N7,52.20000044701598,52.199999971736574,4.752794069418087e-07
I1,11,N8,45.261634845436966,45.70617729148669,-0.4445424460497236
I1,11,N9,42.065537230163926,42.51007972078373,-0.4445424906198028
I1,12,N1,60.0000005807834,59.999999996016925,5.847664752423043e-07
I1,12,N2,52.140655925322214,52.0101858833653,0.1304700419569116
I1,12,N3,16.635113439690283,16.951108774597383,-0.3159953349071003
I1,12,N4,60.000000581697996,59.99999999641644,5.852815547768841e-07
I1,12,N5,57.284373367069136,57.23929186968384,0.0450814973852971
I1,12,N6,11.203859002524293,11.429692517677134,-0.225833515152841
I1,12,N7,52.14065592532274,52.010185883365295,0.1304700419574445
I1,12,N8,19.855527835160633,20.22498382566615,-0.3694559905055179
I1,12,N9,16.635113439690397,16.951108774597383,-0.3159953349069866
I1,13,N1,52.199902863427134,58.91408955262157,-6.714186689194435
I1,13,N2,52.20000049762948,52.1999999937832,5.038462802531285e-07
I1,13,N3,4.013240109076194e-05,4.639820460721321,-4.639780328320231
I1,13,N4,52.19990286379515,58.91408955278169,-6.714186688986537
I1,13,N5,52.19993660244882,56.594180560294014,-4.394243957845191
I1,13,N6,0.00010760814109534064,2.475069198550768e-06,0.00010513307189678987
I1,13,N7,52.200000498031095,52.199999993958926,5.04072168894254e-07
I1,13,N8,1.2282494717477576e-07,7.390959595555667,-7.390959472730719
I1,13,N9,4.013240100081325e-05,4.639820460721321,-4.63978032832032
I1,14,N1,60.000000570256034,59.999984363285456,1.6206970578025448e-05
I1,14,N2,51.96198781303019,52.19999999120646,-0.23801217817626963
I1,14,N3,10.562242836950269,9.92263367895981,0.6396091579904581
I1,14,N4,60.00000057099175,59.999984363467526,1.6207524225819725e-05
I1,14,N5,57.222638442744156,57.30486781351887,-0.08222937077471215
I1,14,N6,5.007518574253374,4.5324005780025605,0.4751179962508134
I1,14,N7,51.96198781303067,52.199999991337116,-0.23801217830644816
I1,14,N8,13.855867575997111,13.11872483511717,0.7371427408799409
I1,14,N9,10.562242836950363,9.922633678959805,0.6396091579905576
I1,15,N1,60.00000056256922,59.99999998820995,5.743592694784638e-07
I1,15,N2,49.3861074206658,49.999399925466435,-0.6132925048006328
I1,15,N3,15.463704730493927,15.993437004452986,-0.5297322739590591
I1,15,N4,60.00000056330488,59.99999998853143,5.747734519445657e-07
I1,15,N5,56.33259846474179,56.54450809837768,-0.21190963363589077
I1,15,N6,8.128900527166744,9.08245322143594,-0.953552694269197
I1,15,N7,49.386107420666306,49.999399925466435,-0.6132925048001283
I1,15,N8,19.812812163749918,20.09124385921686,-0.27843169546694213
I1,15,N9,15.463704730494037,15.993437004453002,-0.5297322739589649
I1,16,N1,60.00000044823332,59.99999996142642,4.8680690412084e-07
I1,16,N2,52.20000048158496,52.199999984774635,4.968103226588028e-07
I1,16,N3,14.779600364611406,15.106334897568471,-0.3267345329570652
I1,16,N4,60.00000044885602,59.9999999617104,4.871456198429769e-07
I1,16,N5,57.30487851252396,57.304878020030706,4.92493256842863e-07
I1,16,N6,9.389356487476451,9.716091012111457,-0.32673452463500574
I1,16,N7,52.200000481792834,52.19999998485407,4.969387674691461e-07
I1,16,N8,17.975697910241276,18.302432448331373,-0.326734538090097
I1,16,N9,14.779600364611488,15.106334897568464,-0.3267345329569764
I1,17,N1,52.20000052677894,52.20000000646446,5.203144866072762e-07
I1,17,N2,52.20000051489698,52.20000000127882,5.136181542297891e-07
I1,17,N3,52.20000051074785,52.19999999948324,5.112646093152762e-07
I1,17,N4,52.200000527429395,52.200000006747565,5.206818300962368e-07
I1,17,N5,52.20000052757361,52.20000000680893,5.207646793792264e-07
I1,17,N6,52.20000050960723,52.199999998987096,5.10620132843087e-07
I1,17,N7,52.20000051718166,52.200000002277505,5.149041513163866e-07
I1,17,N8,52.200000511000695,52.19999999959027,5.114104268955089e-07
I1,17,N9,52.20000051074833,52.19999999948324,5.112650924843365e-07
I1,18,N1,59.952336557116304,59.999999955100215,-0.04766339798391073
I1,18,N2,59.95233653930301,59.99999994773174,-0.04766340842872552
I1,18,N3,59.95233654584775,59.99999995059992,-0.047663404752171346
I1,18,N4,59.95233655784719,59.999999955449994,-0.047663397602804025
I1,18,N5,59.95233655862357,59.99999995584932,-0.04766339722574742
I1,18,N6,59.952336549703325,59.999999952156884,-0.04766340245355849
I1,18,N7,59.95233654564732,59.99999995049336,-0.047663404846041146
I1,18,N8,59.95233654317302,59.99999994949408,-0.04766340632106392
I1,18,N9,59.952336545848304,59.99999995059992,-0.04766340475161712
I1,19,N1,60.000000624571186,60.000000031927115,5.926440707071379e-07
I1,19,N2,60.00000062620848,60.00000003336972,5.928387594167361e-07
I1,19,N3,60.0000006334379,60.00000003650068,5.969372196545919e-07
I1,19,N4,60.00000063192363,60.00000003559496,5.963286753285502e-07
I1,19,N5,60.00000063833894,60.000000038611205,5.997277341407425e-07
I1,19,N6,60.00000063301986,60.00000003618279,5.968370686559865e-07
I1,19,N7,60.000000632552805,60.00000003613134,5.964214651044131e-07
I1,19,N8,60.000000633462065,60.000000036601534,5.968605307771213e-07
I1,19,N9,60.000000633438454,60.00000003650068,5.969377738779258e-07
I1,20,N1,62.6427209364624,62.6908919966296,-0.04817106016719919
I1,20,N2,62.64272094226053,62.69089199914784,-0.0481710568873055
I1,20,N3,62.64272094978191,62.6908920024219,-0.048171052639986556
I1,20,N4,62.642720947141015,62.690892001276076,-0.04817105413506084
I1,20,N5,62.64272095406239,62.69089200428773,-0.04817105022534207
I1,20,N6,62.642720949164115,62.690892002155856,-0.04817105299174074
I1,20,N7,62.64272094860514,62.690892001909475,-0.04817105330433691
I1,20,N8,62.6427209499478,62.69089200248961,-0.048171052541810866
I1,20,N9,62.6427209497825,62.6908920024219,-0.048171052639396805
I1,21,N1,60.000000728890804,60.00000009516361,6.33727196941436e-07
I1,21,N2,60.000000733955964,60.000000097549595,6.36406369380893e-07
I1,21,N3,60.00000074221834,60.000000101149375,6.410689650238055e-07
I1,21,N4,60.00000073910661,60.000000099752945,6.393536651216891e-07
I1,21,N5,60.00000074506774,60.00000010238284,6.426848955243258e-07
I1,21,N6,60.0000007414049,60.00000010077419,6.40630709369816e-07
I1,21,N7,60.00000074030029,60.00000010031122,6.399890679631426e-07
I1,21,N8,60.000000742553596,60.0000001013077,6.412458972704371e-07
I1,21,N9,60.000000742218894,60.000000101149375,6.410695192471394e-07
I1,22,N1,60.00000059684175,60.000000003060435,5.93781315672004e-07
I1,22,N2,60.00000059423762,60.00000000196035,5.922772672306564e-07
I1,22,N3,60.00000060326494,60.00000000589408,5.973708567807989e-07
I1,22,N4,60.000000601618964,60.00000000516116,5.964578022599198e-07
I1,22,N5,60.000000604971845,60.000000006629705,5.983421402788736e-07
I1,22,N6,60.00000060314634,60.000000005834764,5.973115762003545e-07
I1,22,N7,60.000000600581934,60.000000004721976,5.958599587074787e-07
I1,22,N8,60.00000060313955,60.00000000584271,5.972968395440148e-07
I1,22,N9,60.00000060326549,60.00000000589408,5.973714110041328e-07
I1,23,N1,60.00000058944017,59.99999999977854,5.896616315226311e-07
I1,23,N2,60.000000583433675,59.999999997173845,5.862598300154787e-07
I1,23,N3,60.00000059289114,60.00000000129307,5.915980736403981e-07
I1,23,N4,60.00000059220419,60.000000000987434,5.912167537758251e-07
I1,23,N5,60.00000059412031,60.000000001824645,5.922956631820853e-07
I1,23,N6,60.00000059315565,60.00000000140553,5.91750115574996e-07
I1,23,N7,60.00000058977799,59.99999999993547,5.898425214923009e-07
I1,23,N8,60.000000592490004,60.00000000111803,5.913719718364518e-07
I1,23,N9,60.000000592891695,60.00000000129307,5.91598627863732e-07
I1,24,N1,60.00000058469911,59.99999999772575,5.86973357030729e-07
I1,24,N2,60.0000005771551,59.99999999444963,5.827054678775312e-07
I1,24,N3,60.000000586820185,59.99999999865948,5.881607023638935e-07
I1,24,N4,60.00000058666779,59.999999998586794,5.880809936797959e-07
I1,24,N5,60.00000058789494,59.99999999912348,5.887714564778435e-07
I1,24,N6,60.000000587276894,59.99999999885569,5.884212015416779e-07
I1,24,N7,60.00000058349942,59.999999997211255,5.862881664597808e-07
I1,24,N8,60.000000586272925,59.9999999984207,5.878522273405906e-07
I1,24,N9,60.00000058682074,59.99999999865948,5.881612565872274e-07
I2,1,N1,60.00000058951397,59.99999999542999,5.940839784557284e-07
I2,1,N2,60.00000058913042,59.99999999177826,5.973521624014211e-07
I2,1,N3,60.00000058957694,59.99999999604036,5.935365834375261e-07
I2,1,N4,60.00000058958504,59.999999996111335,5.934737075108387e-07
I2,1,N5,60.000000589623205,59.99999999647739,5.931458133545675e-07
I2,1,N6,60.000000589602905,59.9999999962854,5.933175017958092e-07
I2,1,N7,60.00000058941994,59.999999994539884,5.948800563260193e-07
I2,1,N8,60.00000058954798,59.99999999576349,5.937844917980328e-07
I2,1,N9,60.00000058957696,59.99999999604036,5.935366047538082e-07
I2,2,N1,60.000000588911384,59.999999989842415,5.990689686541373e-07
I2,2,N2,60.00000058850093,59.99999998593351,6.025674181842078e-07
I2,2,N3,60.00000058895125,59.999999990231736,5.987195166312631e-07
I2,2,N4,60.00000058897024,59.99999999040683,5.985634103922166e-07
I2,2,N5,60.00000058899613,59.99999999065577,5.983403568166068e-07
I2,2,N6,60.00000058898078,59.99999999051109,5.984696898053699e-07
I2,2,N7,60.000000588790456,59.99999998869514,6.000953192142333e-07
I2,2,N8,60.00000058891944,59.99999998992787,5.989915692339309e-07
I2,2,N9,60.000000588951266,59.999999990231736,5.987195308421178e-07
I2,3,N1,60.00000058667864,59.99999997003308,6.166455577272245e-07
I2,3,N2,60.000000586251154,59.99999996596138,6.202897750995362e-07
I2,3,N3,60.00000058670386,59.99999997028252,6.164213388615281e-07
I2,3,N4,60.00000058673001,59.99999997052592,6.162040904200694e-07
I2,3,N5,60.00000058674816,59.99999997070084,6.160473162708513e-07
I2,3,N6,60.000000586735716,59.99999997058396,6.161517589475807e-07
I2,3,N7,60.00000058654067,59.999999968723,6.178176690241344e-07
I2,3,N8,60.00000058667024,59.99999996996122,6.167090162989552e-07
I2,3,N9,60.000000586703884,59.99999997028252,6.164213601778101e-07
I2,4,N1,60.000000496377254,59.99999964330195,8.530753063951124e-07
I2,4,N2,60.00000049594147,59.999999639150985,8.567904856704445e-07
I2,4,N3,60.000000496395344,59.999999643483285,8.529120592015715e-07
I2,4,N4,60.00000049642506,59.99999964376059,8.526644705852959e-07
I2,4,N5,60.00000049643942,59.99999964389952,8.525398982328625e-07
I2,4,N6,60.00000049642834,59.99999964379557,8.526327732738537e-07
I2,4,N7,60.00000049623099,59.9999996419126,8.5431838670047e-07
I2,4,N8,60.000000496360826,59.999999643153394,8.53207431816827e-07
I2,4,N9,60.00000049639536,59.999999643483285,8.529120734124263e-07
I2,5,N1,60.00000058810078,59.99999998249187,6.056089105754836e-07
I2,5,N2,60.000000587681726,59.99999997850081,6.0918091548956e-07
I2,5,N3,60.00000058813325,59.9999999828106,6.053226471181006e-07
I2,5,N4,60.00000058815583,59.999999983019926,6.051359022762881e-07
I2,5,N5,60.000000588177805,59.99999998323151,6.049462939472505e-07
I2,5,N6,60.00000058816395,59.99999998310106,6.050628869047614e-07
I2,5,N7,60.00000058797124,59.999999981262434,6.067088094141582e-07
I2,5,N8,60.000000588100534,59.999999982497975,6.056025583234259e-07
I2,5,N9,60.00000058813326,59.9999999828106,6.053226613289553e-07
I2,6,N1,60.00000058958655,59.99999999682904,5.92757508854902e-07
I2,6,N2,60.00000058921326,59.99999999335968,5.958535780337115e-07
I2,6,N3,60.000000589651336,59.999999997596305,5.920550307791927e-07
I2,6,N4,60.00000058966144,59.99999999759629,5.9206514890775e-07
I2,6,N5,60.00000058970688,59.99999999804532,5.916615606338382e-07
I2,6,N6,60.00000058967092,59.999999997817454,5.918534640159123e-07
I2,6,N7,60.000000589502775,59.9999999961213,5.933814719583097e-07
I2,6,N8,60.0000005896269,59.999999997338136,5.92288763812121e-07
I2,6,N9,60.00000058965136,59.999999997596305,5.920550520954748e-07
I2,7,N1,59.96609717517201,59.98135788225813,-0.015260707086120817
I2,7,N2,59.96609717460601,59.98135787598322,-0.015260701377208363
I2,7,N3,59.96609717494549,59.981357879603344,-0.015260704657855229
I2,7,N4,59.96609717520786,59.9813578826,-0.015260707392144468
I2,7,N5,59.96609717523719,59.98135788267953,-0.015260707442344312
I2,7,N6,59.96609717502729,59.981357881668714,-0.01526070664142054
I2,7,N7,59.96609717489553,59.98135787874484,-0.015260703849307333
I2,7,N8,59.96609717487749,59.98135787822022,-0.015260703342732995
I2,7,N9,59.96609717494551,59.981357879603344,-0.015260704657833912
I2,8,N1,59.96314313204871,59.99387452558689,-0.030731393538182772
I2,8,N2,59.96314313130525,59.99387451874826,-0.030731387443005076
I2,8,N3,59.96314313159423,59.99387452102777,-0.030731389433540812
I2,8,N4,59.96314313207839,59.99387452587,-0.030731393791604944
I2,8,N5,59.96314313210442,59.993874526103234,-0.030731393998813417
I2,8,N6,59.96314313171534,59.993874521262406,-0.030731389547064225
I2,8,N7,59.96314313159477,59.99387452150988,-0.03073138991511115
I2,8,N8,59.96314313150258,59.993874520699364,-0.030731389196787973
I2,8,N9,59.96314313159425,59.99387452102777,-0.030731389433519496
I2,9,N1,59.991246081155396,59.98897211700093,0.0022739641544688993
I2,9,N2,59.9912460802761,59.98897210763595,0.0022739726401468374
I2,9,N3,59.99124608046178,59.9889721079564,0.0022739725053781967
I2,9,N4,59.991246081179135,59.98897211722724,0.0022739639518931654
I2,9,N5,59.991246081177785,59.98897211674251,0.0022739644352753885
I2,9,N6,59.99124608047668,59.98897210620967,0.0022739742670054852
I2,9,N7,59.991246080565624,59.988972110397576,0.0022739701680478674
I2,9,N8,59.99124608043275,59.98897210881665,0.002273971616105541
I2,9,N9,59.9912460804618,59.9889721079564,0.002273972505399513
I2,10,N1,52.20000051314379,52.200000010967514,5.021762774504168e-07
I2,10,N2,52.2000005123637,52.200000003508976,5.088547254672449e-07
I2,10,N3,52.20000051223167,52.20000000226235,5.099693183296949e-07
I2,10,N4,52.20000051316346,52.200000011155,5.02008461467085e-07
I2,10,N5,52.200000513120614,52.20000001074506,5.023755562660881e-07
I2,10,N6,52.20000051215813,52.200000001562316,5.10595810965242e-07
