investor,hour,node,installed_power_mw,charge_offer_mw,charge_bid_price_eur_per_mwh,accepted_charge_mw,discharge_offer_mw,discharge_offer_price_eur_per_mwh,accepted_discharge_mw,joint_lambda_eur_per_mwh
I2,22,N5,0.0,0.0,-7.5,-4.555449845823672e-09,0.0,7.5,-4.012063234341827e-09,60.000000006629705
I2,22,N6,78.81113733827014,78.81113733827014,-238.10379070046156,-8.998964687448038e-09,78.81113733827014,87.40051344556784,1.1061736970892767e-06,60.000000005834764
I2,22,N7,0.0,0.0,-7.5,-4.556205268275853e-09,0.0,7.5,-4.011102369323747e-09,60.000000004721976
I2,22,N8,72.43902210209461,72.43902210209461,-264.3497651114229,-8.963253426477876e-09,72.43902210207143,44.62578894882233,2.541861352029417e-06,60.00000000584271
I2,22,N9,0.0,0.0,-7.5,-4.5613312519758756e-09,0.0,7.5,-4.004577300121423e-09,60.00000000589408
I2,23,N1,0.0,0.0,-7.5,-4.561332554585776e-09,0.0,7.5,-4.0045094861167115e-09,59.99999999977854
I2,23,N2,0.0,0.0,-7.5,-4.561769269423383e-09,0.0,7.5,-4.003953145391013e-09,59.999999997173845
I2,23,N3,0.0,0.0,-7.5,-4.563709132996862e-09,0.0,7.5,-4.001483588197228e-09,60.00000000129307
I2,23,N4,0.0,0.0,-7.5,-4.5613322159054195e-09,0.0,7.5,-4.004509796029258e-09,60.000000000987434
I2,23,N5,0.0,0.0,-7.5,-4.561483309141676e-09,0.0,7.5,-4.004317514479538e-09,60.000000001824645
I2,23,N6,78.81113733827014,78.81113733827014,-238.1111735260718,-8.998987648961855e-09,78.81113733827014,87.33980969392597,1.4034030698992076e-06,60.00000000140553
I2,23,N7,0.0,0.0,-7.5,-4.561769372255919e-09,0.0,7.5,-4.003953239253025e-09,59.99999999993547
I2,23,N8,72.43902210209461,72.43902210209461,-264.32046376693535,-8.963155666239064e-09,72.43902210207162,44.6910375510613,1.6724071863860428e-06,60.00000000111803
I2,23,N9,0.0,0.0,-7.5,-4.563709132957566e-09,0.0,7.5,-4.0014835879980924e-09,60.00000000129307
I2,24,N1,0.0,0.0,-7.5,-4.563613095328027e-09,0.0,7.5,-4.001584552667583e-09,59.99999999772575
I2,24,N2,0.0,0.0,-7.5,-4.5637959761206885e-09,0.0,7.5,-4.001351389923191e-09,59.99999999444963
I2,24,N3,0.0,0.0,-7.5,-4.564600859548354e-09,0.0,7.5,-4.000327608652117e-09,59.99999999865948
I2,24,N4,0.0,0.0,-7.5,-4.56361300564518e-09,0.0,7.5,-4.001584601743214e-09,59.999999998586794
I2,24,N5,0.0,0.0,-7.5,-4.563676307445838e-09,0.0,7.5,-4.001504072933865e-09,59.99999999912348
I2,24,N6,78.81113733827014,78.81113733827014,-238.06478865487028,-8.998843368893886e-09,78.81113733827014,87.39032313511208,1.1469976066596534e-06,59.99999999885569
I2,24,N7,0.0,0.0,-7.5,-4.563796104208231e-09,0.0,7.5,-4.001351478991312e-09,59.999999997211255
I2,24,N8,72.43902210209461,72.43902210209461,-264.3218168238902,-8.963160180883777e-09,72.43902210207166,44.62994952595794,2.4604577345569366e-06,59.9999999984207
I2,24,N9,0.0,0.0,-7.5,-4.5646008595355255e-09,0.0,7.5,-4.000327608485353e-09,59.99999999865948
I3,1,N1,0.0,0.0,-7.5,-4.5648779306720025e-09,0.0,7.5,-3.999967076541414e-09,59.99999999542999
I3,1,N2,0.0,0.0,-7.5,-4.5649413560832485e-09,0.0,7.5,-3.999886042112525e-09,59.99999999177826
I3,1,N3,0.0,0.0,-7.5,-4.565181955161273e-09,0.0,7.5,-3.999580644867074e-09,59.99999999604036
I3,1,N4,0.0,0.0,-7.5,-4.564877957856354e-09,0.0,7.5,-3.9999670505192375e-09,59.999999996111335
I3,1,N5,0.0,0.0,-7.5,-4.5648999652953655e-09,0.0,7.5,-3.999939101938575e-09,59.99999999647739
I3,1,N6,0.0,0.0,-7.5,-4.5652254445018245e-09,0.0,7.5,-3.999525391680176e-09,59.9999999962854
I3,1,N7,0.0,0.0,-7.5,-4.564941502795087e-09,0.0,7.5,-3.999886125167036e-09,59.999999994539884
I3,1,N8,0.0,0.0,-7.5,-4.565156108343829e-09,0.0,7.5,-3.999613462059283e-09,59.99999999576349
I3,1,N9,0.0,0.0,-7.5,-4.565181955207269e-09,0.0,7.5,-3.999580644640894e-09,59.99999999604036
I3,2,N1,0.0,0.0,-7.5,-4.565179978304821e-09,0.0,7.5,-3.999584639804648e-09,59.999999989842415
I3,2,N2,0.0,0.0,-7.5,-4.56525100163219e-09,0.0,7.5,-3.999493805381206e-09,59.99999998593351
I3,2,N3,0.0,0.0,-7.5,-4.565465445839394e-09,0.0,7.5,-3.999221770363949e-09,59.999999990231736
I3,2,N4,0.0,0.0,-7.5,-4.565179949968721e-09,0.0,7.5,-3.999584664019569e-09,59.99999999040683
I3,2,N5,0.0,0.0,-7.5,-4.565204637613543e-09,0.0,7.5,-3.99955327536674e-09,59.99999999065577
I3,2,N6,0.0,0.0,-7.5,-4.565514457575511e-09,0.0,7.5,-3.999159495853514e-09,59.99999999051109
I3,2,N7,0.0,0.0,-7.5,-4.565251281531016e-09,0.0,7.5,-3.9994937698381735e-09,59.99999998869514
I3,2,N8,0.0,0.0,-7.5,-4.565436314679444e-09,0.0,7.5,-3.999258758692596e-09,59.99999998992787
I3,2,N9,0.0,0.0,-7.5,-4.565465446385838e-09,0.0,7.5,-3.99922176964267e-09,59.999999990231736
I3,3,N1,0.0,0.0,-7.5,-4.565373900762718e-09,0.0,7.5,-3.9992962946856194e-09,59.99999997003308
I3,3,N2,0.0,0.0,-7.5,-4.565529766463352e-09,0.0,7.5,-3.9990979673892875e-09,59.99999996596138
I3,3,N3,0.0,0.0,-7.5,-4.565944987829586e-09,0.0,7.5,-3.998569560150377e-09,59.99999997028252
I3,3,N4,0.0,0.0,-7.5,-4.565374009891875e-09,0.0,7.5,-3.999296241833912e-09,59.99999997052592
I3,3,N5,0.0,0.0,-7.5,-4.565427810086729e-09,0.0,7.5,-3.999227816085902e-09,59.99999997070084
I3,3,N6,0.0,0.0,-7.5,-4.566051437556935e-09,0.0,7.5,-3.998433982741785e-09,59.99999997058396
I3,3,N7,0.0,0.0,-7.5,-4.565529541297964e-09,0.0,7.5,-3.999098218110114e-09,59.999999968723
I3,3,N8,0.0,0.0,-7.5,-4.565881755540338e-09,0.0,7.5,-3.998650078383484e-09,59.99999996996122
I3,3,N9,0.0,0.0,-7.5,-4.56594498578831e-09,0.0,7.5,-3.9985695609776835e-09,59.99999997028252
I3,4,N1,0.0,0.0,-7.5,-4.565923261576281e-09,0.0,7.5,-3.9986370478836196e-09,59.99999964330195
I3,4,N2,0.0,0.0,-7.5,-4.566327265859713e-09,0.0,7.5,-3.998122025704244e-09,59.999999639150985
I3,4,N3,0.0,0.0,-7.5,-4.567385296002889e-09,0.0,7.5,-3.996774476631369e-09,59.999999643483285
I3,4,N4,0.0,0.0,-7.5,-4.565923277355831e-09,0.0,7.5,-3.998637057711394e-09,59.99999964376059
I3,4,N5,0.0,0.0,-7.5,-4.566062954314083e-09,0.0,7.5,-3.99845910327004e-09,59.99999964389952
I3,4,N6,0.0,0.0,-7.5,-4.567662125319928e-09,0.0,7.5,-3.996421567307031e-09,59.99999964379557
I3,4,N7,0.0,0.0,-7.5,-4.566327292312009e-09,0.0,7.5,-3.998122124681599e-09,59.9999996419126
I3,4,N8,0.0,0.0,-7.5,-4.567220840397279e-09,0.0,7.5,-3.996984094980064e-09,59.999999643153394
I3,4,N9,0.0,0.0,-7.5,-4.5673852963174565e-09,0.0,7.5,-3.996774476014292e-09,59.999999643483285
I3,5,N1,0.0,0.0,-7.5,-4.567135924544068e-09,0.0,7.5,-3.997079398885078e-09,59.99999998249187
I3,5,N2,0.0,0.0,-7.5,-4.568214408265518e-09,0.0,7.5,-3.995702258589329e-09,59.99999997850081
I3,5,N3,0.0,0.0,-7.5,-4.571033048438853e-09,0.0,7.5,-3.992105374475557e-09,59.9999999828106
I3,5,N4,0.0,0.0,-7.5,-4.567135847116624e-09,0.0,7.5,-3.997079469109297e-09,59.999999983019926
I3,5,N5,0.0,0.0,-7.5,-4.56750877468756e-09,0.0,7.5,-3.996603496164942e-09,59.99999998323151
I3,5,N6,0.0,0.0,-7.5,-4.5717720111782736e-09,0.0,7.5,-3.99116119744836e-09,59.99999998310106
I3,5,N7,0.0,0.0,-7.5,-4.568214671584628e-09,0.0,7.5,-3.99570225502617e-09,59.999999981262434
I3,5,N8,0.0,0.0,-7.5,-4.570594002571852e-09,0.0,7.5,-3.992666212696726e-09,59.999999982497975
I3,5,N9,0.0,0.0,-7.5,-4.571033048599735e-09,0.0,7.5,-3.992105374135937e-09,59.9999999828106
I3,6,N1,0.0,0.0,-7.5,-4.5703806426757966e-09,0.0,7.5,-3.992917136773925e-09,59.99999999682904
I3,6,N2,0.0,0.0,-7.5,-4.573268209519902e-09,0.0,7.5,-3.989222222411636e-09,59.99999999335968
I3,6,N3,0.0,0.0,-7.5,-4.580809885909039e-09,0.0,7.5,-3.979565797344152e-09,59.999999997596305
I3,6,N4,0.0,0.0,-7.5,-4.570380640656831e-09,0.0,7.5,-3.99291718674696e-09,59.99999999759629
I3,6,N5,0.0,0.0,-7.5,-4.5713789370196974e-09,0.0,7.5,-3.991640254929422e-09,59.99999999804532
I3,6,N6,0.0,0.0,-7.5,-4.582785277825795e-09,0.0,7.5,-3.977031123109838e-09,59.999999997817454
I3,6,N7,0.0,0.0,-7.5,-4.5732683376672575e-09,0.0,7.5,-3.989222321320006e-09,59.9999999961213
I3,6,N8,0.0,0.0,-7.5,-4.579636064298867e-09,0.0,7.5,-3.981071231934589e-09,59.999999997338136
I3,6,N9,0.0,0.0,-7.5,-4.5808098857524074e-09,0.0,7.5,-3.979565797223778e-09,59.999999997596305
I3,7,N1,0.0,0.0,-7.5,-4.577623217120282e-09,0.0,7.5,-3.983380378947445e-09,59.98135788225813
I3,7,N2,0.0,0.0,-7.5,-4.585336252629251e-09,0.0,7.5,-3.973468944472006e-09,59.98135787598322
I3,7,N3,0.0,0.0,-7.5,-4.6054696125262124e-09,0.0,7.5,-3.947514273905838e-09,59.981357879603344
I3,7,N4,0.0,0.0,-7.5,-4.577623371335656e-09,0.0,7.5,-3.983380371877026e-09,59.9813578826
