hour,node,lambda_joint_eur_per_mwh
10,N4,52.20000000946543
10,N5,52.2000000091221
10,N6,52.20000000133389
10,N7,52.20000000419589
10,N8,52.20000000210917
10,N9,52.200000001918596
11,N1,59.99999998793449
11,N2,52.19999999724804
11,N3,46.7209756043301
11,N4,59.999999988144275
11,N5,57.30487804150109
11,N6,41.33073170969155
11,N7,52.19999999749275
11,N8,49.91707316051654
11,N9,46.72097560433081
12,N1,52.20000076970857
12,N2,52.19999999643405
12,N3,52.199999208304455
12,N4,52.20000076983538
12,N5,52.20000050392853
12,N6,52.19999867569459
12,N7,52.19999999663734
12,N8,52.1999995227794
12,N9,52.19999920830432
13,N1,52.13070038438232
13,N2,52.19999999489707
13,N3,52.05689324917398
13,N4,52.13070038451822
13,N5,52.15464537309616
13,N6,52.10478322483643
13,N7,52.19999999505036
13,N8,52.02849730791059
13,N9,52.056893249051996
14,N1,56.54672677386437
14,N2,52.199999992707546
14,N3,49.14668904255384
14,N4,56.54672677401881
14,N5,55.04480898495312
14,N6,46.1428534625814
14,N7,52.199999992820686
14,N8,50.92778684277005
14,N9,49.146689042403835
15,N1,52.20000036858004
15,N2,52.199999990763146
15,N3,52.199999597972415
15,N4,52.20000036876262
15,N5,52.200000239390945
15,N6,52.19999933725823
15,N7,52.19999999085484
15,N8,52.19999975076266
15,N9,52.19999959787532
16,N1,52.200000010278536
16,N2,52.19999999225346
16,N3,52.19999984493857
16,N4,52.2000000104897
16,N5,52.20000000549658
16,N6,52.199999833592194
16,N7,52.1999999923608
16,N8,52.199999851528545
16,N9,52.19999984493857
17,N1,52.20000000548612
17,N2,52.20000000108529
17,N3,52.19999999956144
17,N4,52.20000000572638
17,N5,52.200000005778456
17,N6,52.19999999914039
17,N7,52.20000000193283
17,N8,52.199999999652285
17,N9,52.19999999956144
18,N1,59.99999995081573
18,N2,59.999999944789074
18,N3,59.999999946727776
18,N4,59.99999995110659
18,N5,59.99999995143847
18,N6,59.99999994764394
18,N7,59.99999994713274
18,N8,59.999999946325026
18,N9,59.999999946737496
19,N1,60.00000001265246
19,N2,60.00000001330496
19,N3,60.00000001585183
19,N4,60.00000001536231
19,N5,60.000000017779335
19,N6,60.0000000157445
19,N7,60.000000015648645
19,N8,60.000000015998395
19,N9,60.000000015875024
20,N1,65.48162724138386
20,N2,65.48162724366802
20,N3,65.48162724636312
20,N4,65.48162724532712
20,N5,65.48162724802339
20,N6,65.48162724602916
20,N7,65.48162724601205
20,N8,65.4816272465491
20,N9,65.48162724636312
21,N1,60.00000008075631
21,N2,60.0000000827812
21,N3,60.00000008583618
21,N4,60.00000008465097
21,N5,60.00000008688285
21,N6,60.00000008551777
21,N7,60.000000085124874
21,N8,60.00000008597041
21,N9,60.000000085836064
22,N1,60.00000000005156
22,N2,59.99999999780728
22,N3,60.00000000071603
22,N4,60.00000000111416
22,N5,60.000000002044246
22,N6,60.00000000114125
22,N7,60.000000000150955
22,N8,60.000000000671044
22,N9,60.00000000076006
23,N1,59.99999999636451
23,N2,59.99999999315326
23,N3,59.999999995750066
23,N4,59.99999999695493
23,N5,59.99999999743227
23,N6,59.999999996628354
23,N7,59.999999995496935
23,N8,59.99999999602803
23,N9,59.99999999581817
24,N1,59.99999998986944
24,N2,59.99999998636022
24,N3,59.999999989186215
24,N4,59.99999999031976
24,N5,59.99999999060675
24,N6,59.999999989993036
24,N7,59.9999999887039
24,N8,59.99999998931581
24,N9,59.99999998920603
