fleet,investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit,last_best_response_access_shadow_price_eur_per_mw_day
no_penalty,I1,N4,0.0,0.0,0.0,0.0,0.0
no_penalty,I1,N5,0.0,0.0,0.0,0.0,0.0
no_penalty,I1,N6,18.848878865160348,57.67840254840424,3.0600442053354757,0.09424439432580174,0.0
no_penalty,I1,N7,0.0,0.0,0.0,0.0,0.0
no_penalty,I1,N8,25.054180359045652,58.72092496987284,2.3437575737205076,0.12527090179522826,0.0
no_penalty,I1,N9,2.2268920238219256,8.337483695401787,3.7439999812350564,0.011134460119109629,0.0
no_penalty,I2,N1,0.0,0.0,0.0,0.0,0.0
no_penalty,I2,N2,0.0,0.0,0.0,0.0,0.0
no_penalty,I2,N3,0.8084317906890947,3.02676859064066,3.743999958315209,0.004042158953445473,0.0
no_penalty,I2,N4,0.0,0.0,0.0,0.0,0.0
no_penalty,I2,N5,0.0,0.0,0.0,0.0,0.0
no_penalty,I2,N6,19.919276146492884,61.703674943053194,3.097686607146974,0.09959638073246442,0.0
no_penalty,I2,N7,0.0,0.0,0.0,0.0,0.0
no_penalty,I2,N8,26.85611281024378,65.46694009246309,2.4376923255807856,0.1342805640512189,-1.1418643045201074e-08
no_penalty,I2,N9,0.800628587992304,2.9975533982919003,3.74399995609539,0.0040031429399615195,1.4293099847521822e-08
no_penalty,I3,N1,0.0,0.0,0.0,0.0,0.0
no_penalty,I3,N2,0.0,0.0,0.0,0.0,0.0
no_penalty,I3,N3,0.00013034195197235396,0.0004652125353738349,3.5691696214010076,6.517097598617698e-07,0.0
no_penalty,I3,N4,0.0,0.0,0.0,0.0,0.0
no_penalty,I3,N5,0.0,0.0,0.0,0.0,0.0
no_penalty,I3,N6,15.456457746675747,58.66699432321529,3.7956299745220035,0.07728228873337874,1.2152415301745255e-08
no_penalty,I3,N7,0.0,0.0,0.0,0.0,0.0
no_penalty,I3,N8,22.85404982369567,71.52284467678584,3.129547945704971,0.11427024911847836,2.015840625253671e-08
no_penalty,I3,N9,0.01658647916813476,0.06194846322007205,3.7348772209044103,8.293239584067381e-05,-2.99477240721949e-08
no_penalty,I4,N1,0.0,0.0,0.0,0.0,0.0
no_penalty,I4,N2,0.0,0.0,0.0,0.0,0.0
no_penalty,I4,N3,0.014810528280158067,0.04328796930807775,2.922783609688753,7.405264140079034e-05,2.4617221330256216e-08
no_penalty,I4,N4,0.0,0.0,0.0,0.0,0.0
no_penalty,I4,N5,0.0,0.0,0.0,0.0,0.0
no_penalty,I4,N6,12.336816464261684,45.11945322289102,3.657301164655955,0.06168408232130842,-3.607801978726345e-08
no_penalty,I4,N7,0.0,0.0,0.0,0.0,0.0
no_penalty,I4,N8,13.410822533640706,29.004402262833967,2.1627608739193414,0.06705411266820353,-6.184762655866122e-08
no_penalty,I4,N9,26.421095724119873,76.85829563442869,2.9089745723249694,0.13210547862059938,8.140930569555757e-08
