fleet,case,gamma,node,hour,lambda_eur_per_mwh,hard_min_norm_lambda_eur_per_mwh,lambda_difference_eur_per_mwh,balance_residual_mw
with_penalty,hard_min_norm,,N5,16,57.30487860814394,57.30487860814394,0.0,0.0
with_penalty,hard_min_norm,,N5,17,52.20000051211609,52.20000051211609,0.0,0.0
with_penalty,hard_min_norm,,N5,18,60.000000589588595,60.000000589588595,0.0,0.0
with_penalty,hard_min_norm,,N5,19,60.00000059014385,60.00000059014385,0.0,0.0
with_penalty,hard_min_norm,,N5,20,60.000000590398734,60.000000590398734,0.0,0.0
with_penalty,hard_min_norm,,N5,21,60.00000059020983,60.00000059020983,0.0,0.0
with_penalty,hard_min_norm,,N5,22,60.00000059007114,60.00000059007114,0.0,0.0
with_penalty,hard_min_norm,,N5,23,60.00000059000453,60.00000059000453,0.0,0.0
with_penalty,hard_min_norm,,N5,24,60.00000058994133,60.00000058994133,0.0,0.0
with_penalty,hard_min_norm,,N6,1,60.00000058982954,60.00000058982954,0.0,0.0
with_penalty,hard_min_norm,,N6,2,60.00000058929662,60.00000058929662,0.0,0.0
with_penalty,hard_min_norm,,N6,3,60.000000585667415,60.000000585667415,0.0,0.0
with_penalty,hard_min_norm,,N6,4,60.000000461757,60.000000461757,0.0,0.0
with_penalty,hard_min_norm,,N6,5,60.000000587912574,60.000000587912574,0.0,0.0
with_penalty,hard_min_norm,,N6,6,60.00000058986995,60.00000058986995,0.0,0.0
with_penalty,hard_min_norm,,N6,7,60.000000590001825,60.000000590001825,0.0,0.0
with_penalty,hard_min_norm,,N6,8,60.000000590003516,60.000000590003516,0.0,0.0
with_penalty,hard_min_norm,,N6,9,60.000000589627106,60.000000589627106,0.0,0.0
with_penalty,hard_min_norm,,N6,10,52.20000051202616,52.20000051202616,0.0,0.0
with_penalty,hard_min_norm,,N6,11,41.330732110671285,41.330732110671285,0.0,0.0
with_penalty,hard_min_norm,,N6,12,29.885445845721634,29.885445845721634,0.0,0.0
with_penalty,hard_min_norm,,N6,13,29.885443866856782,29.885443866856782,0.0,0.0
