hour,node,p_charge_mw,p_discharge_mw,soc_mwh,lambda_eur_per_mwh
5,N3,1.0711184978862399e-06,1.7181817853195977e-07,37.0429770101363,54.99999984338625
5,N4,1.0711184725588902e-06,1.718181791739275e-07,35.69941815749042,54.999999957561684
5,N5,1.0711184511177034e-06,1.7181817978512378e-07,34.57868012896481,55.00000007035559
5,N6,1.0711184694672642e-06,1.7181817968745702e-07,42.716335288779895,54.99999995681029
5,N7,1.0711184782459457e-06,1.7181817998341417e-07,48.7730865580672,54.999999959430355
5,N8,1.0711184290142166e-06,1.7181818201543504e-07,140.18121094172125,55.00000005073876
5,N9,1.0711184206266766e-06,1.7181818006371988e-07,32.22930691047088,55.000000140621985
6,N1,1.0711184458254805e-06,1.718181800930229e-07,38.04268061866546,54.99999996634851
6,N2,1.071118462613862e-06,1.7181817947918697e-07,34.40537878265832,54.99999991780335
6,N3,1.071118445721838e-06,1.7181818003693943e-07,37.042977829136724,54.99999998264915
6,N4,1.0711184317038662e-06,1.718181803620027e-07,35.69941897649085,55.00000005934058
6,N5,1.0711184195130502e-06,1.7181818071467915e-07,34.578680947965225,55.00000014093903
6,N6,1.07111842876945e-06,1.718181808660864e-07,42.716336107780315,55.000000061985894
6,N7,1.0711184380031831e-06,1.718181811459697e-07,48.773087377067625,55.000000065683786
6,N8,1.0711184003145493e-06,1.7181818284097752e-07,140.18121176072165,55.00000012926988
6,N9,1.0711183951588146e-06,1.7181818082358859e-07,32.22930772947126,55.00000018909165
7,N1,1.4564279858862613e-07,9.047667649172155,28.376369163991217,74.99999982313925
7,N2,1.456427987212862e-07,8.15684459908029,25.690801355860007,74.99999980573209
7,N3,1.456427985835877e-07,8.850366447990867,27.587458256066437,74.99999983924104
7,N4,1.4564279854945567e-07,8.720795124254938,26.382330304847827,74.99999987514445
7,N5,1.456427985492545e-07,8.647768696754135,25.33961196382306,74.9999999164286
7,N6,1.4564279853199208e-07,10.376551247737991,31.630277218740872,74.99999987516829
7,N7,1.456427987366678e-07,11.75566517680284,36.21361617065121,74.99999987936297
7,N8,1.4564279829249968e-07,30.871245215998815,107.199112307301,74.99999990056055
7,N9,1.456427982247886e-07,8.223584893604691,23.44342656920671,74.99999993449663
8,N1,1.456427973957137e-07,12.564342706420053,14.952926237898291,74.99999993809251
8,N2,1.456427974184229e-07,11.276870075295827,13.642863377549375,74.9999999325016
8,N3,1.4564279739102816e-07,12.195742841164554,14.557818604819126,74.99999995220422
8,N4,1.4564279745413214e-07,11.644353980722759,13.941781316465685,74.99999997005234
