hour,node,lambda_joint_eur_per_mwh
22,N2,67.15000037111277
22,N3,67.15000007085774
22,N4,67.15000011595293
22,N5,67.15000039519936
22,N6,67.15000011868104
22,N7,67.15000037111275
22,N8,67.15000029611778
22,N9,67.15000010389197
23,N1,67.14999977813486
23,N2,67.15000016659647
23,N3,67.15000000401666
23,N4,67.15000002232547
23,N5,67.15000017849474
23,N6,67.150000031934
23,N7,67.15000016659647
23,N8,67.15000012144529
23,N9,67.15000002378825
24,N1,67.1499997101029
24,N2,67.15000007609541
24,N3,67.14999996549754
24,N4,67.14999996414525
24,N5,67.15000008297831
24,N6,67.14999998038321
24,N7,67.15000007609535
24,N8,67.15000004443614
24,N9,67.1499999786981
