scenario,probability,hour,node,p_charge_mw,p_discharge_mw,soc_mwh
low,0.25,18,N7,0.0,0.0,-0.0
low,0.25,18,N8,0.0,0.0,-0.0
low,0.25,18,N9,0.0,0.0,22.449702655058477
low,0.25,19,N1,0.0,-0.0,-0.0
low,0.25,19,N2,0.0,-0.0,-0.0
low,0.25,19,N3,0.0,-0.0,-0.0
low,0.25,19,N4,0.0,-0.0,-0.0
low,0.25,19,N5,0.0,-0.0,-0.0
low,0.25,19,N6,0.0,0.0,67.52142534494226
low,0.25,19,N7,0.0,-0.0,-0.0
low,0.25,19,N8,0.0,0.0,-0.0
low,0.25,19,N9,0.0,13.483250000000055,8.044521031126795
low,0.25,20,N1,0.0,-0.0,-0.0
low,0.25,20,N2,0.0,-0.0,-0.0
low,0.25,20,N3,0.0,-0.0,-0.0
low,0.25,20,N4,0.0,-0.0,0.0
low,0.25,20,N5,0.0,-0.0,-0.0
low,0.25,20,N6,0.0,33.093078314865316,32.165572444445125
low,0.25,20,N7,0.0,-0.0,-0.0
low,0.25,20,N8,0.0,-0.0,0.0
low,0.25,20,N9,0.0,7.52967168513468,0.0
low,0.25,21,N1,0.0,-0.0,-0.0
low,0.25,21,N2,0.0,-0.0,-0.0
low,0.25,21,N3,0.0,0.0,-0.0
low,0.25,21,N4,0.0,-0.0,-0.0
low,0.25,21,N5,0.0,-0.0,0.0
low,0.25,21,N6,0.0,10.047499999999964,21.431063897436616
low,0.25,21,N7,0.0,-0.0,-0.0
low,0.25,21,N8,0.0,-0.0,0.0
low,0.25,21,N9,0.0,-0.0,0.0
low,0.25,22,N1,0.0,-0.0,0.0
low,0.25,22,N2,0.0,-0.0,-0.0
low,0.25,22,N3,0.0,-0.0,0.0
low,0.25,22,N4,0.0,-0.0,0.0
low,0.25,22,N5,0.0,-0.0,-0.0
low,0.25,22,N6,0.0,20.059475808000673,0.0
low,0.25,22,N7,0.0,-0.0,-0.0
low,0.25,22,N8,0.0,-0.0,0.0
low,0.25,22,N9,0.0,-0.0,0.0
low,0.25,23,N1,0.0,-0.0,0.0
low,0.25,23,N2,0.0,0.0,0.0
low,0.25,23,N3,0.0,-0.0,-0.0
low,0.25,23,N4,0.0,-0.0,0.0
low,0.25,23,N5,0.0,-0.0,-0.0
low,0.25,23,N6,0.0,0.0,-0.0
low,0.25,23,N7,0.0,-0.0,-0.0
low,0.25,23,N8,0.0,-0.0,0.0
low,0.25,23,N9,0.0,-0.0,-0.0
low,0.25,24,N1,0.0,0.0,-0.0
low,0.25,24,N2,0.0,0.0,-0.0
low,0.25,24,N3,0.0,0.0,0.0
low,0.25,24,N4,0.0,0.0,-0.0
low,0.25,24,N5,0.0,0.0,0.0
low,0.25,24,N6,0.0,0.0,-0.0
low,0.25,24,N7,0.0,0.0,-0.0
low,0.25,24,N8,0.0,0.0,-0.0
low,0.25,24,N9,0.0,0.0,-0.0
base,0.5,1,N1,0.0,-0.0,-0.0
base,0.5,1,N2,0.0,-0.0,-0.0
base,0.5,1,N3,0.0,0.0,-0.0
base,0.5,1,N4,0.0,-0.0,-0.0
base,0.5,1,N5,0.0,0.0,-0.0
base,0.5,1,N6,0.0,0.0,-0.0
base,0.5,1,N7,0.0,0.0,-0.0
base,0.5,1,N8,0.0,0.0,-0.0
base,0.5,1,N9,0.0,0.0,19.1967147435897
base,0.5,2,N1,0.0,-0.0,-0.0
base,0.5,2,N2,0.0,0.0,-0.0
base,0.5,2,N3,0.0,0.0,-0.0
base,0.5,2,N4,0.0,0.0,-0.0
base,0.5,2,N5,0.0,0.0,-0.0
base,0.5,2,N6,0.0,0.0,-0.0
base,0.5,2,N7,0.0,0.0,-0.0
base,0.5,2,N8,0.0,0.0,-0.0
base,0.5,2,N9,0.0,0.0,19.1967147435897
base,0.5,3,N1,0.0,-0.0,-0.0
base,0.5,3,N2,0.0,-0.0,-0.0
base,0.5,3,N3,0.0,-0.0,-0.0
base,0.5,3,N4,0.0,-0.0,-0.0
base,0.5,3,N5,0.0,-0.0,0.0
base,0.5,3,N6,0.0,-0.0,0.0
base,0.5,3,N7,0.0,-0.0,-0.0
base,0.5,3,N8,0.0,-0.0,0.0
base,0.5,3,N9,0.0,17.968124999999958,-0.0
base,0.5,4,N1,0.0,0.0,-0.0
base,0.5,4,N2,0.0,0.0,-0.0
base,0.5,4,N3,0.0,0.0,-0.0
base,0.5,4,N4,0.0,0.0,-0.0
base,0.5,4,N5,0.0,0.0,-0.0
base,0.5,4,N6,0.0,0.0,-0.0
base,0.5,4,N7,0.0,0.0,-0.0
base,0.5,4,N8,0.0,0.0,-0.0
base,0.5,4,N9,0.0,0.0,-0.0
base,0.5,5,N1,0.0,0.0,-0.0
base,0.5,5,N2,0.0,0.0,-0.0
base,0.5,5,N3,0.0,0.0,-0.0
base,0.5,5,N4,0.0,0.0,-0.0
base,0.5,5,N5,0.0,0.0,-0.0
base,0.5,5,N6,0.0,0.0,-0.0
base,0.5,5,N7,0.0,0.0,-0.0
base,0.5,5,N8,0.0,0.0,-0.0
base,0.5,5,N9,0.0,0.0,-0.0
base,0.5,6,N1,0.0,0.0,-0.0
base,0.5,6,N2,0.0,0.0,-0.0
base,0.5,6,N3,0.0,0.0,-0.0
base,0.5,6,N4,0.0,0.0,-0.0
base,0.5,6,N5,0.0,-0.0,0.0
base,0.5,6,N6,0.0,0.0,-0.0
base,0.5,6,N7,0.0,0.0,-0.0
base,0.5,6,N8,0.0,0.0,-0.0
base,0.5,6,N9,0.0,0.0,-0.0
base,0.5,7,N1,0.0,-0.0,-0.0
base,0.5,7,N2,0.0,-0.0,-0.0
base,0.5,7,N3,0.0,0.0,0.0
base,0.5,7,N4,0.0,-0.0,-0.0
base,0.5,7,N5,0.0,-0.0,-0.0
base,0.5,7,N6,0.0,-0.0,0.0
base,0.5,7,N7,0.0,-0.0,-0.0
base,0.5,7,N8,0.0,-0.0,0.0
base,0.5,7,N9,0.0,0.0,-0.0
base,0.5,8,N1,0.0,0.0,0.0
base,0.5,8,N2,0.0,0.0,-0.0
base,0.5,8,N3,0.0,-0.0,-0.0
base,0.5,8,N4,0.0,0.0,-0.0
base,0.5,8,N5,0.0,-0.0,-0.0
base,0.5,8,N6,0.0,-0.0,-0.0
base,0.5,8,N7,0.0,0.0,-0.0
base,0.5,8,N8,0.0,0.0,-0.0
base,0.5,8,N9,0.0,0.0,0.0
base,0.5,9,N1,0.0,-0.0,0.0
base,0.5,9,N2,0.0,0.0,0.0
base,0.5,9,N3,0.0,0.0,0.0
base,0.5,9,N4,0.0,0.0,0.0
base,0.5,9,N5,0.0,-0.0,-0.0
base,0.5,9,N6,0.0,0.0,0.0
base,0.5,9,N7,0.0,0.0,-0.0
base,0.5,9,N8,0.0,-0.0,-0.0
base,0.5,9,N9,0.0,-0.0,-0.0
base,0.5,10,N1,0.0,-0.0,-0.0
base,0.5,10,N2,0.0,0.0,-0.0
base,0.5,10,N3,0.0,0.0,-0.0
base,0.5,10,N4,0.0,0.0,-0.0
base,0.5,10,N5,0.0,0.0,-0.0
base,0.5,10,N6,0.0,0.0,-0.0
base,0.5,10,N7,0.0,0.0,-0.0
base,0.5,10,N8,0.0,0.0,-0.0
base,0.5,10,N9,0.0,0.0,-0.0
base,0.5,11,N1,0.0,0.0,-0.0
base,0.5,11,N2,0.0,0.0,-0.0
base,0.5,11,N3,0.0,0.0,-0.0
base,0.5,11,N4,0.0,0.0,-0.0
base,0.5,11,N5,0.0,0.0,-0.0
base,0.5,11,N6,0.0,0.0,-0.0
base,0.5,11,N7,0.0,0.0,-0.0
base,0.5,11,N8,0.0,0.0,-0.0
base,0.5,11,N9,0.0,0.0,-0.0
base,0.5,12,N1,0.0,-0.0,-0.0
base,0.5,12,N2,0.0,0.0,-0.0
base,0.5,12,N3,0.0,0.0,-0.0
base,0.5,12,N4,0.0,-0.0,-0.0
base,0.5,12,N5,0.0,-0.0,-0.0
base,0.5,12,N6,36.08062500000027,0.0,33.771465000000255
base,0.5,12,N7,0.0,0.0,-0.0
base,0.5,12,N8,0.0,0.0,0.0
base,0.5,12,N9,0.0,0.0,0.0
base,0.5,13,N1,0.0,-0.0,-0.0
base,0.5,13,N2,0.0,0.0,-0.0
base,0.5,13,N3,-0.0,0.0,-0.0
base,0.5,13,N4,0.0,0.0,-0.0
base,0.5,13,N5,0.0,0.0,-0.0
base,0.5,13,N6,44.07026691176529,0.0,75.02123482941256
base,0.5,13,N7,0.0,0.0,-0.0
base,0.5,13,N8,16.751126116071475,0.0,15.679054044642902
base,0.5,13,N9,39.20048197216354,0.0,36.69165112594507
base,0.5,14,N1,0.0,0.0,-0.0
base,0.5,14,N2,0.0,0.0,-0.0
base,0.5,14,N3,0.0,0.0,-0.0
base,0.5,14,N4,0.0,0.0,-0.0
base,0.5,14,N5,0.0,0.0,-0.0
base,0.5,14,N6,44.07026691176529,0.0,116.27100465882486
base,0.5,14,N7,0.0,0.0,-0.0
base,0.5,14,N8,38.38111339285729,0.0,51.60377618035733
base,0.5,14,N9,37.20886969537764,0.0,71.51915316081855
base,0.5,15,N1,0.0,0.0,-0.0
base,0.5,15,N2,0.0,0.0,-0.0
base,0.5,15,N3,0.0,0.0,-0.0
base,0.5,15,N4,0.0,0.0,-0.0
base,0.5,15,N5,0.0,0.0,-0.0
base,0.5,15,N6,12.518432205882931,0.0,127.98825720353129
base,0.5,15,N7,0.0,0.0,-0.0
base,0.5,15,N8,0.0,0.0,51.60377618035733
base,0.5,15,N9,57.812817794117365,0.0,125.6319506161124
base,0.5,16,N1,0.0,0.0,-0.0
base,0.5,16,N2,0.0,0.0,-0.0
base,0.5,16,N3,0.0,0.0,-0.0
base,0.5,16,N4,0.0,0.0,-0.0
base,0.5,16,N5,0.0,0.0,-0.0
base,0.5,16,N6,0.0,0.0,127.98825720353129
base,0.5,16,N7,0.0,0.0,0.0
base,0.5,16,N8,0.0,0.0,51.60377618035733
base,0.5,16,N9,0.0,0.0,125.6319506161124
base,0.5,17,N1,0.0,0.0,-0.0
base,0.5,17,N2,0.0,0.0,-0.0
base,0.5,17,N3,0.0,0.0,-0.0
base,0.5,17,N4,0.0,0.0,-0.0
base,0.5,17,N5,0.0,0.0,-0.0
base,0.5,17,N6,0.0,0.0,127.98825720353129
base,0.5,17,N7,0.0,0.0,-0.0
base,0.5,17,N8,0.0,0.0,51.60377618035733
base,0.5,17,N9,0.0,0.0,125.6319506161124
