investor,hour,node,lambda_best_response_eur_per_mwh,lambda_joint_eur_per_mwh,difference_eur_per_mwh
I1,10,N2,55.000000383847485,55.00000067293783,-2.8909034455182336e-07
I1,10,N3,55.00000030941899,55.00000073107382,-4.216548248336949e-07
I1,10,N4,55.000000281386455,55.000000818961446,-5.375749907443605e-07
I1,10,N5,55.00000063855336,55.00000042877872,2.0977464032512216e-07
I1,11,N1,30.000005740624246,41.123456856940905,-11.123451116316659
I1,11,N2,48.43294794531756,54.999999855438304,-6.567051910120746
I1,11,N3,55.51749544786242,60.33333308682437,-4.815837638961945
I1,11,N4,75.00000070289535,74.99999941519664,1.2876987085519431e-06
I1,11,N5,16.328072205106153,30.83105936575818,-14.502987160652026
I1,12,N1,30.000000144296774,30.00000656852705,-6.42423027485961e-06
I1,12,N2,48.43294471799947,48.43294839741049,-3.67941102297209e-06
I1,12,N3,55.51749312255262,55.51749540950383,-2.286951207963739e-06
I1,12,N4,75.00000070297403,74.99999965132727,1.0516467625620862e-06
I1,12,N5,16.32806517456692,16.328073627002794,-8.452435874772846e-06
I1,13,N1,30.000000154256377,30.00000006531261,8.894376790635761e-08
I1,13,N2,48.43294474835719,48.43294432474392,4.23613265354561e-07
I1,13,N3,55.51749317992702,55.517492273733275,9.061937475962623e-07
I1,13,N4,75.00000072090174,74.99999910684627,1.6140554635057924e-06
I1,13,N5,5.553780255471441e-07,16.3280651330486,-16.328064577670574
I1,14,N1,30.000000156400347,30.000000010501076,1.458992713310181e-07
I1,14,N2,48.432944720794126,48.43294395902334,7.617707851181876e-07
I1,14,N3,55.517493183451066,55.51749178933474,1.3941163246045107e-06
I1,14,N4,75.0000007193176,74.99999830076379,2.41855380522793e-06
I1,14,N5,-5.021368666893937e-07,16.328064764265868,-16.328065266402735
I1,15,N1,30.000000165540282,30.00000004696807,1.1857221338118507e-07
I1,15,N2,48.43294478348627,48.43294362188409,1.1616021780014307e-06
I1,15,N3,55.517493186518195,55.517491307655554,1.8788626405807918e-06
I1,15,N4,75.00000072691707,74.99999741370051,3.3132165526694735e-06
I1,15,N5,5.156332420443614e-07,16.328065770057645,-16.328065254424402
I1,16,N1,30.00000012556842,41.12342658931747,-11.123426463749048
I1,16,N2,48.432944665823484,54.999981901409136,-6.5670372355856514
I1,16,N3,55.51749306107519,60.333319859804774,-4.8158267987295815
I1,16,N4,75.00000071405309,74.99999919296302,1.5210900699003105e-06
I1,16,N5,16.328064956973083,30.83101996702287,-14.502955010049785
I1,17,N1,41.123457729859325,41.123458709852265,-9.799929401310692e-07
I1,17,N2,55.00000049525788,54.99999997498352,5.202743622589878e-07
I1,17,N3,60.333333924691985,60.33333254383292,1.3808590679786903e-06
I1,17,N4,75.00000072308467,74.99999703281469,3.690269977596472e-06
