investor,hour,node,lambda_best_response_eur_per_mwh,lambda_joint_eur_per_mwh,difference_eur_per_mwh
I1,5,N8,60.000000586557476,59.999999995913285,5.906441913339222e-07
I1,5,N9,60.00000058656654,59.9999999959211,5.906454418891371e-07
I1,6,N1,60.000000589817134,59.99999999977555,5.900415871451514e-07
I1,6,N2,60.000000589692725,59.99999999966483,5.900278949866333e-07
I1,6,N3,60.000000589823834,59.999999999773586,5.900502486611003e-07
I1,6,N4,60.00000058983833,59.99999999979185,5.900464827846008e-07
I1,6,N5,60.000000589851005,59.99999999980169,5.900493178501165e-07
I1,6,N6,60.0000005898374,59.99999999978684,5.900505612999041e-07
I1,6,N7,60.00000058978398,59.99999999974275,5.900412318737835e-07
I1,6,N8,60.00000058981812,59.99999999976931,5.900488133647741e-07
I1,6,N9,60.000000589824616,59.99999999977461,5.900500070765702e-07
I1,7,N1,60.00000058999802,59.999999999979956,5.900180610751704e-07
I1,7,N2,60.000000589905206,59.99999999989269,5.900125188418315e-07
I1,7,N3,60.00000059002708,59.99999999999295,5.900341264464259e-07
I1,7,N4,60.00000059003499,60.00000000000772,5.900272768144532e-07
I1,7,N5,60.000000590064964,60.000000000031484,5.900334798525364e-07
I1,7,N6,60.00000059003795,60.000000000004505,5.900334443253996e-07
I1,7,N7,60.00000058999646,59.99999999997061,5.900258486235543e-07
I1,7,N8,60.00000059002438,59.99999999999134,5.900330393160402e-07
I1,7,N9,60.000000590027994,59.999999999994195,5.900337995967675e-07
I1,8,N1,60.00000059002692,59.999999999998586,5.900283355231295e-07
I1,8,N2,60.000000589933904,59.99999999990645,5.900274544501372e-07
I1,8,N3,60.00000059003954,59.99999999999219,5.900473496467384e-07
I1,8,N4,60.000000590066335,60.000000000026944,5.900393915680979e-07
I1,8,N5,60.00000059010781,60.00000000005913,5.900486783616543e-07
I1,8,N6,60.00000059005484,60.00000000000832,5.900465183117376e-07
I1,8,N7,60.00000059002516,59.999999999984375,5.9004078423186e-07
I1,8,N8,60.00000059003612,59.99999999999022,5.900459001395575e-07
I1,8,N9,60.000000590040706,59.999999999993776,5.900469304265243e-07
I1,9,N1,60.00000058973354,59.99999999950734,5.902262003587566e-07
I1,9,N2,60.00000058951799,59.999999999301146,5.902168425109267e-07
I1,9,N3,60.000000589589874,59.99999999935161,5.902382653744098e-07
I1,9,N4,60.00000058974598,59.99999999951582,5.902301580817948e-07
I1,9,N5,60.00000058976115,59.99999999952328,5.902378674704778e-07
I1,9,N6,60.000000589625515,59.999999999379085,5.902464295104437e-07
I1,9,N7,60.00000058960924,59.99999999937907,5.902301722926495e-07
I1,9,N8,60.000000589583074,59.99999999935107,5.902320054929078e-07
I1,9,N9,60.000000589591686,59.99999999935375,5.902379385247514e-07
I1,10,N1,52.20000051236238,52.200000000309466,5.120529138480379e-07
I1,10,N2,52.20000051211592,52.20000000009901,5.120169106476169e-07
I1,10,N3,52.20000051207471,52.20000000006384,5.120108710343629e-07
I1,10,N4,52.200000512368575,52.20000000031475,5.120538233427396e-07
I1,10,N5,52.20000051235504,52.200000000303184,5.120518551393616e-07
I1,10,N6,52.200000512051574,52.200000000044085,5.120074888509407e-07
I1,10,N7,52.200000512163285,52.200000000139454,5.120238313338632e-07
I1,10,N8,52.20000051208196,52.20000000007002,5.120119368484666e-07
I1,10,N9,52.20000051207471,52.20000000006384,5.120108710343629e-07
I1,11,N1,60.00000058953018,59.99999999959885,5.899313322288435e-07
I1,11,N2,52.20000051189282,52.199999999908506,5.119843109469002e-07
I1,11,N3,46.72097606675446,46.72097560957571,4.5717874996853425e-07
I1,11,N4,60.00000058953835,59.99999999960582,5.89932533046067e-07
I1,11,N5,57.30487861154581,57.30487804853846,5.630073474094388e-07
I1,11,N6,41.33073211071813,41.33073170739726,4.0332086825856095e-07
I1,11,N7,52.200000511902346,52.19999999991664,5.119857036106623e-07
I1,11,N8,49.91707365950455,49.917073170392065,4.891124874006891e-07
I1,11,N9,46.72097606675445,46.72097560957571,4.571787428631069e-07
I1,12,N1,52.20000052456171,59.99999853750758,-7.799998012945871
I1,12,N2,52.200000511857006,52.1999999998779,5.119791026686471e-07
I1,12,N3,9.072704911694974e-09,35.298943000673496,-35.29894299160079
I1,12,N4,52.20000052456663,59.99999853751179,-7.79999801294516
I1,12,N5,52.20000052022666,57.30487709162541,-5.104876571398748
I1,12,N6,3.647033796089266e-10,29.908700108875564,-29.90870010851086
I1,12,N7,52.200000511864744,52.19999999988452,5.119802253261696e-07
I1,12,N8,1.4193851310004685e-08,38.495039962359996,-38.495039948166145
I1,12,N9,9.070662916840741e-09,35.29894300067102,-35.298942991600356
I1,13,N1,52.20000051212323,59.9999999769421,-7.7999994648188675
I1,13,N2,52.20000051179452,52.199999999822595,5.119719261870159e-07
I1,13,N3,4.1705085573378366e-10,35.29894240203498,-35.29894240161793
I1,13,N4,52.20000051212852,59.99999997694666,-7.799999464818143
I1,13,N5,52.20000051206188,57.30487803367307,-5.1048775216111935
I1,13,N6,2.351905748622923e-10,29.908698515438797,-29.908698515203607
I1,13,N7,52.200000511800326,52.199999999827504,5.11972821470863e-07
I1,13,N8,4.6468606906644887e-10,38.49503995354659,-38.4950399530819
I1,13,N9,4.122986739177226e-10,35.298942402028416,-35.29894240161612
I1,14,N1,52.20000051173302,59.999999011009116,-7.799998499276093
I1,14,N2,52.20000051170955,52.19999999975198,5.119575661183262e-07
I1,14,N3,2.256661016229382e-10,35.2989425324547,-35.298942532229034
I1,14,N4,52.200000511739034,59.99999901101425,-7.799998499275219
I1,14,N5,52.20000051177654,57.30487740147247,-5.10487688969593
I1,14,N6,2.414809734245742e-10,29.90869931331387,-29.90869931307239
I1,14,N7,52.20000051171388,52.19999999975567,5.119582127122158e-07
I1,14,N8,1.6131891574532462e-10,38.49503968821063,-38.49503968804931
I1,14,N9,2.209196644686591e-10,35.29894253244814,-35.298942532227215
