investor,hour,node,installed_power_mw,charge_offer_mw,charge_bid_price_eur_per_mwh,accepted_charge_mw,discharge_offer_mw,discharge_offer_price_eur_per_mwh,accepted_discharge_mw,joint_lambda_eur_per_mwh
I1,20,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000142353797
I1,20,N8,6.365569551662606e-05,3.184138640680706e-05,-7.5,5.537622511483592e-07,3.1813491639455826e-05,7.5,1.2883534591509e-06,67.15000089605948
I1,20,N9,6.36433206638029e-05,3.182204214886569e-05,-7.5,5.733570369628569e-07,3.1803696184727516e-05,7.5,1.1073731452022734e-06,67.1500002410188
I1,21,N1,6.365775150131158e-05,3.182701099641103e-05,-7.5,6.248757869260551e-07,3.181845391008786e-05,7.5,8.993918582346585e-07,67.15000050508425
I1,21,N2,6.366096512464735e-05,3.182577854322901e-05,-7.5,6.942766026494914e-07,3.182484867487767e-05,7.5,7.735285020832483e-07,67.1500019680595
I1,21,N3,6.364335680634345e-05,3.182193783707188e-05,-7.5,5.80131372544306e-07,3.180386179790312e-05,7.5,1.1251400066676999e-06,67.15000064848614
I1,21,N4,6.36570040231157e-05,3.182645652231628e-05,-7.5,6.248755946968709e-07,3.181790690340831e-05,7.5,8.993912923031992e-07,67.1500007162005
I1,21,N5,6.365530554376046e-05,3.1823426427155865e-05,-7.5,6.956258653093255e-07,3.182190791384911e-05,7.5,7.707595881526707e-07,67.15000201947089
I1,21,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000071975355
I1,21,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1500019680595
I1,21,N8,6.365569551662606e-05,3.184181659655328e-05,-7.5,5.631868561233127e-07,3.181313126670984e-05,7.5,1.3097079386694338e-06,67.15000183884128
I1,21,N9,6.36433206638029e-05,3.182190991106055e-05,-7.5,5.801313766290462e-07,3.1803838146603086e-05,7.5,1.1251400516009338e-06,67.15000070875566
I1,22,N1,6.365775150131158e-05,3.182700983526617e-05,-7.5,6.278990601396513e-07,3.181846040504688e-05,7.5,9.062281700060026e-07,67.14999989840689
I1,22,N2,6.366096512464735e-05,3.182577920705539e-05,-7.5,6.957099034004416e-07,3.182484927701999e-05,7.5,7.751422502208831e-07,67.15000038704181
I1,22,N3,6.364335680634345e-05,3.1821934863665206e-05,-7.5,5.868445185531302e-07,3.1803879730732665e-05,7.5,1.1391137052280737e-06,67.15000007564252
I1,22,N4,6.36570040231157e-05,3.18264554850239e-05,-7.5,6.278989567960017e-07,3.181791350910774e-05,7.5,9.06227631738963e-07,67.15000012492466
I1,22,N5,6.365530554376046e-05,3.182342917674875e-05,-7.5,6.966875441052257e-07,3.182190550263317e-05,7.5,7.721445886417473e-07,67.1500004092446
I1,22,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000012642027
I1,22,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000038704181
I1,22,N8,6.365569551662606e-05,3.1841780804849456e-05,-7.5,5.720487755378664e-07,3.1813195605957133e-05,7.5,1.3251178631659811e-06,67.15000031335245
I1,22,N9,6.36433206638029e-05,3.182190804955647e-05,-7.5,5.868445294624762e-07,3.1803855056281307e-05,7.5,1.1391137465469318e-06,67.15000010946925
I1,23,N1,6.365775150131158e-05,3.1827009393265874e-05,-7.5,6.310289341283555e-07,3.1818465007009934e-05,7.5,9.124319032320573e-07,67.14999977813363
I1,23,N2,6.366096512464735e-05,3.1825780253755304e-05,-7.5,6.967912633810278e-07,3.182484904101967e-05,7.5,7.762955948056371e-07,67.15000016659462
I1,23,N3,6.364335680634345e-05,3.182193286973618e-05,-7.5,5.926856955378396e-07,3.1803892855156976e-05,7.5,1.1491546975617095e-06,67.15000000401595
I1,23,N4,6.36570040231157e-05,3.182645504953049e-05,-7.5,6.310289148697368e-07,3.181791826431954e-05,7.5,9.124313788759994e-07,67.15000002232425
I1,23,N5,6.365530554376046e-05,3.18234323289023e-05,-7.5,6.973647681036858e-07,3.182190256227609e-05,7.5,7.730433805745962e-07,67.15000017849304
I1,23,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000003193292
I1,23,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000016659462
I1,23,N8,6.365569551662606e-05,3.184175213008843e-05,-7.5,5.79424812476756e-07,3.1813246283737994e-05,7.5,1.3354572325561947e-06,67.15000012144172
I1,23,N9,6.36433206638029e-05,3.182190718061465e-05,-7.5,5.926857121535113e-07,3.1803867130255444e-05,7.5,1.149154737114081e-06,67.1500000237874
I1,24,N1,6.365775150131158e-05,3.182700887022497e-05,-7.5,6.337004993079873e-07,3.181846850117082e-05,7.5,9.171529106832336e-07,67.14999971010234
I1,24,N2,6.366096512464735e-05,3.182578091763945e-05,-7.5,6.97401996285114e-07,3.1824848731578134e-05,7.5,7.769298312532733e-07,67.1500000760946
I1,24,N3,6.364335680634345e-05,3.18219314387816e-05,-7.5,5.969475388579245e-07,3.1803901639998605e-05,7.5,1.1554935255745299e-06,67.1499999654971
