scenario,hour,node,embedded_lambda_eur_per_mwh,reference_lambda_eur_per_mwh
base,14,N9,9.27773700253305e-08,-0.0
base,15,N1,52.20000010793294,52.20000000000002
base,15,N2,52.200000374058554,52.2
base,15,N3,3.066969919532005e-07,-0.0
base,15,N4,52.200000110619065,52.20000000000002
base,15,N5,52.200000221241936,52.20000000000003
base,15,N6,5.107296727928601e-07,-0.0
base,15,N7,52.20000037560929,52.2
base,15,N8,1.831208201682362e-07,-0.0
base,15,N9,3.066676847156696e-07,-0.0
base,16,N1,52.20000067476886,52.2
base,16,N2,52.20000047343272,52.2
base,16,N3,52.20000024399505,52.2
base,16,N4,52.20000067787288,52.2
base,16,N5,52.200000628514935,52.2
base,16,N6,52.200000127733716,52.2
base,16,N7,52.20000047768213,52.2
base,16,N8,52.200000310681176,52.2
base,16,N9,52.20000024399505,52.2
base,17,N1,52.200000631838776,52.2
base,17,N2,52.200000555961935,52.2
base,17,N3,52.20000055134333,52.2
base,17,N4,52.20000063536717,52.2
base,17,N5,52.200000636656895,52.2
base,17,N6,52.2000005513181,52.2
base,17,N7,52.20000057479267,52.2
base,17,N8,52.20000054874634,52.2
base,17,N9,52.20000055134333,52.2
base,18,N1,60.00000056469641,60.0
base,18,N2,60.00000050455688,60.0
base,18,N3,60.00000054521884,60.0
base,18,N4,60.00000057462288,60.0
base,18,N5,60.00000058807809,60.0
base,18,N6,60.00000055343018,60.0
base,18,N7,60.00000054192661,60.0
base,18,N8,60.00000053813572,60.0
base,18,N9,60.00000054523167,60.0
base,19,N1,60.000001120576556,60.0
base,19,N2,60.00000113694398,60.0
base,19,N3,60.0000011788553,60.0
base,19,N4,60.00000116723274,60.0
base,19,N5,60.000001207971856,60.0
base,19,N6,60.00000117407625,60.0
base,19,N7,60.00000117431371,60.0
base,19,N8,60.0000011806245,60.0
base,19,N9,60.00000117886316,60.0
base,20,N1,60.000003360552256,60.0
base,20,N2,60.000003389889905,60.0
base,20,N3,60.00000343220203,60.0
base,20,N4,60.0000034156007,60.0
base,20,N5,60.00000345954476,60.0
base,20,N6,60.00000342443642,60.0
base,20,N7,60.000003427259635,60.0
base,20,N8,60.00000343604669,60.0
base,20,N9,60.00000343220883,60.0
base,21,N1,60.000001303819445,60.0
base,21,N2,60.0000013260764,60.0
base,21,N3,60.00000137409327,60.0
base,21,N4,60.00000135721511,60.0
base,21,N5,60.00000139179182,60.0
base,21,N6,60.00000136895333,60.0
base,21,N7,60.00000136344613,60.0
base,21,N8,60.000001376328896,60.0
base,21,N9,60.0000013740988,60.0
base,22,N1,60.0000006344138,60.0
base,22,N2,60.00000061784983,60.0
base,22,N3,60.000000670695016,60.0
base,22,N4,60.000000661647704,60.0
base,22,N5,60.00000068124139,60.0
base,22,N6,60.00000066992178,60.0
base,22,N7,60.00000065521956,60.0
base,22,N8,60.000000670019475,60.0
base,22,N9,60.00000067070001,60.0
base,23,N1,60.00000058866311,60.0
base,23,N2,60.000000552464314,60.0
base,23,N3,60.000000607800864,60.0
base,23,N4,60.000000604464574,60.0
base,23,N5,60.00000061561478,60.0
base,23,N6,60.0000006093367,60.0
base,23,N7,60.000000589834045,60.0
base,23,N8,60.00000060546031,60.0
base,23,N9,60.00000060780561,60.0
base,24,N1,60.00000056184056,60.0
base,24,N2,60.000000516742766,60.0
base,24,N3,60.00000057329281,60.0
base,24,N4,60.000000573096244,60.0
base,24,N5,60.0000005802096,60.0
base,24,N6,60.000000575956655,60.0
base,24,N7,60.000000554112496,60.0
base,24,N8,60.000000570092936,60.0
base,24,N9,60.00000057329741,60.0
high,1,N1,60.00000051056245,60.0
high,1,N2,60.00000045581383,60.0
high,1,N3,60.00000051778496,60.0
high,1,N4,60.00000052005767,60.0
high,1,N5,60.00000052522094,60.0
high,1,N6,60.000000521392586,60.0
high,1,N7,60.00000049639443,60.0
high,1,N8,60.000000513756206,60.0
high,1,N9,60.00000051779063,60.0
high,2,N1,60.00000039766811,60.0
high,2,N2,60.000000339249226,60.0
high,2,N3,60.000000401773356,60.0
high,2,N4,60.00000040552298,60.0
high,2,N5,60.00000040898456,60.0
high,2,N6,60.00000040589495,60.0
high,2,N7,60.00000037982982,60.0
high,2,N8,60.00000039734269,60.0
high,2,N9,60.000000401779026,60.0
high,3,N1,59.99999983835949,60.0
high,3,N2,59.99999977779675,60.0
high,3,N3,59.99999984080154,60.0
high,3,N4,59.99999984529161,60.0
high,3,N5,59.999999847711734,60.0
high,3,N6,59.99999984529265,60.0
high,3,N7,59.99999981837735,60.0
high,3,N8,59.99999983608809,60.0
high,3,N9,59.99999984080724,60.0
