fleet,case,gamma,investor,node,hour,p_charge_mw,p_discharge_mw,net_injection_mw
final_gamma1e4,hard_min_norm,,I4,N2,7,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,8,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,8,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,8,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,8,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,9,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,9,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,9,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,9,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,10,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,10,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,10,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,10,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,11,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,11,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,11,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,11,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,12,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,12,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,12,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,12,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,13,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,13,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,13,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,13,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,14,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,14,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,14,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,14,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,15,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,15,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,15,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,15,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,16,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,16,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,16,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,16,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,17,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,17,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,17,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,17,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,18,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,18,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,18,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,18,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,19,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,19,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,19,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,19,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,20,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,20,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,20,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,20,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,21,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,21,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,21,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,21,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,22,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,22,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,22,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,22,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,23,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,23,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,23,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,23,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N2,24,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N2,24,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N2,24,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N2,24,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N3,1,-9.57729393847751e-09,0.135967117645637,0.13596712722293092
final_gamma1e4,hard_min_norm,,I2,N3,1,-9.577299636191193e-09,0.11415689863047512,0.11415690820777476
final_gamma1e4,hard_min_norm,,I3,N3,1,-9.57754970566823e-09,0.014453729799709604,0.01445373937725931
final_gamma1e4,hard_min_norm,,I4,N3,1,-9.577342935117654e-09,0.06590715475938291,0.06590716433672585
final_gamma1e4,hard_min_norm,,I1,N3,2,-9.577294302970439e-09,0.13518117555252304,0.13518118512981733
final_gamma1e4,hard_min_norm,,I2,N3,2,-9.577299970623782e-09,0.11366089370212291,0.11366090327942288
final_gamma1e4,hard_min_norm,,I3,N3,2,-9.577549516833882e-09,0.01446229119526788,0.014462300772817398
final_gamma1e4,hard_min_norm,,I4,N3,2,-9.577343178788479e-09,0.06579798324571594,0.06579799282305912
final_gamma1e4,hard_min_norm,,I1,N3,3,-9.577297593700466e-09,0.12798004696018753,0.12798005653748512
final_gamma1e4,hard_min_norm,,I2,N3,3,-9.5773030842537e-09,0.10884463337050114,0.10884464294780423
final_gamma1e4,hard_min_norm,,I3,N3,3,-9.577546046285866e-09,0.014590724209408932,0.014590733786954978
final_gamma1e4,hard_min_norm,,I4,N3,3,-9.577345604610345e-09,0.06455610832437571,0.06455611790172132
final_gamma1e4,hard_min_norm,,I1,N3,4,-9.577398327308891e-09,0.04660218507764786,0.046602194655046184
final_gamma1e4,hard_min_norm,,I2,N3,4,-9.577403481728164e-09,0.04393571919833144,0.04393572877573492
