hour,node,shed_mw,bound_mw,marginal_wtp_eur_per_mwh,xi_shed_dual
9,N1,-8.842964333859934e-09,60.0,499.9999974014096,4.479165743150095e-09
9,N2,14.228488609150837,360.0,1196.863111705487,9.035992581939917e-09
9,N3,13.398464841361438,360.0,1156.2113628444563,9.038526651894228e-09
9,N4,11.115899479871466,360.0,1044.419053473237,9.04542714297948e-09
9,N5,-9.211309381311086e-09,60.0,499.99999729316784,4.479165743822563e-09
10,N1,-9.211309379972764e-09,54.36,499.99999701232656,3.906363955645766e-09
10,N2,-9.211309389799849e-09,326.16,499.99999950205444,8.984393992619848e-09
10,N3,-9.21130938981069e-09,326.16,499.99999950205444,8.984393992619848e-09
10,N4,-9.211309389834723e-09,326.16,499.99999950205444,8.984393992619848e-09
10,N5,-9.211309380256949e-09,54.36,499.99999701232656,3.906363955645766e-09
11,N1,-9.21130937863267e-09,48.18,499.9999966291007,3.124739406979866e-09
11,N2,-9.211309389765475e-09,289.08,499.99999943818347,8.854123234512203e-09
11,N3,-9.211309389782114e-09,289.08,499.99999943818347,8.854123234512203e-09
11,N4,-9.211309389813846e-09,289.08,499.99999943818347,8.854123234512203e-09
11,N5,-9.21130937905005e-09,48.18,499.9999966291007,3.124739406979866e-09
12,N1,-9.275879963876346e-09,45.9,499.9999964368538,2.783223194521061e-09
12,N2,-9.275879973518132e-09,275.4,499.9999994061423,8.797203865769155e-09
12,N3,-9.2758799734872e-09,275.4,499.9999994061423,8.797203865769155e-09
12,N4,-9.2758799734291e-09,275.4,499.9999994061423,8.797203865769155e-09
12,N5,-9.275879963521454e-09,45.9,499.9999964368538,2.7832231945210613e-09
13,N1,-9.275879963615013e-09,44.94,499.9999963607385,2.6290597380597723e-09
13,N2,-9.275879973513155e-09,269.64,499.99999939345645,8.771509956359617e-09
13,N3,-9.275879973476564e-09,269.64,499.99999939345645,8.771509956359617e-09
13,N4,-9.275879973437693e-09,269.64,499.99999939345645,8.771509956359617e-09
13,N5,-9.275879963296633e-09,44.94,499.9999963607385,2.6290597380597727e-09
14,N1,-9.275879963494112e-09,44.46,499.9999963214483,2.549481435635383e-09
14,N2,-9.275879973499872e-09,266.76,499.99999938690803,8.758246905955906e-09
14,N3,-9.275879973463256e-09,266.76,499.99999938690803,8.758246905955906e-09
14,N4,-9.27587997342442e-09,266.76,499.99999938690803,8.758246905955906e-09
14,N5,-9.275879963175744e-09,44.46,499.9999963214483,2.5494814356353848e-09
15,N1,-9.275879963385075e-09,43.86,499.99999627112607,2.4475591570514384e-09
15,N2,-9.275879973480733e-09,263.16,499.999999378521,8.741259859525709e-09
15,N3,-9.275879973449709e-09,263.16,499.999999378521,8.741259859525709e-09
15,N4,-9.275879973391803e-09,263.16,499.999999378521,8.741259859525709e-09
15,N5,-9.275879963030228e-09,43.86,499.99999627112607,2.447559157051438e-09
16,N1,-9.275797684156924e-09,45.48,499.9999964039807,2.716577498427197e-09
16,N2,-9.27579769400256e-09,272.88,499.99999940066346,8.786096249753801e-09
16,N3,-9.27579769400343e-09,272.88,499.99999940066346,8.786096249753801e-09
16,N4,-9.275797694002269e-09,272.88,499.99999940066346,8.786096249753801e-09
16,N5,-9.275797684154887e-09,45.48,499.9999964039807,2.7165774984271965e-09
17,N1,-9.211309379112225e-09,48.66,499.9999966623525,3.192559486813466e-09
17,N2,-9.211309389989078e-09,291.96,499.9999994437254,8.86542658115083e-09
17,N3,-9.211309389988817e-09,291.96,499.9999994437254,8.86542658115083e-09
17,N4,-9.21130938998977e-09,291.96,499.9999994437254,8.86542658115083e-09
17,N5,-9.211309379112288e-09,48.66,499.9999966623525,3.192559486813466e-09
18,N1,-9.211309379350225e-09,50.04,499.9999967543979,3.380294656844338e-09
18,N2,-9.211309389915762e-09,300.24,499.9999994590663,8.896715776155145e-09
18,N3,-9.211309389914359e-09,300.24,499.9999994590663,8.896715776155145e-09
18,N4,-9.211309389916283e-09,300.24,499.9999994590663,8.896715776155145e-09
18,N5,-9.211309379353729e-09,50.04,499.9999967543979,3.3802946568443384e-09
19,N1,-8.671980527743932e-09,50.52,499.9999969734618,3.4431897162115897e-09
19,N2,5.149756861957902,303.12,799.5458718374341,8.883455716773404e-09
19,N3,6.10804989647572,303.12,855.2868961605211,8.87954643990988e-09
19,N4,8.743355741424951,303.12,1008.5747130504783,8.868653406289253e-09
19,N5,-9.211309379293796e-09,50.52,499.999996785235,3.4431897194881265e-09
20,N1,0.11116904484907932,55.62,535.2406650622094,4.017630769632166e-09
20,N2,12.284089845535442,333.72,1149.0108471416902,8.963206205155155e-09
20,N3,16.749015699062976,333.72,1384.9082841566042,8.947079928497972e-09
20,N4,29.027561796320715,333.72,2033.6262359506295,8.90003042062124e-09
20,N5,-9.211309380431391e-09,55.62,499.9999970800085,4.044407490633087e-09
21,N1,-7.726191676833269e-09,53.88,499.99999747169716,3.8520776646367875e-09
21,N2,5.492745312015052,323.28,799.5724220693553,8.953080933437954e-09
21,N3,8.404154531874317,323.28,958.359669990801,8.942328853769763e-09
21,N4,16.410529886869842,323.28,1395.0246017956404,8.911588768135372e-09
21,N5,-9.211309380065515e-09,53.88,499.9999969857103,3.852077665717544e-09
22,N1,-9.211309376963251e-09,42.23999999999999,499.999996155068,2.1579058860684326e-09
22,N2,-9.211309389487143e-09,253.44,499.999999359178,8.692984314364983e-09
22,N3,-9.21130938948603e-09,253.44,499.999999359178,8.692984314364983e-09
