hour,node,lambda_reference_eur_per_mwh
20,N4,60.000000538429184
20,N5,60.000000620114015
20,N6,60.000000553911036
20,N7,60.00000055204919
20,N8,60.00000056710356
20,N9,60.000000556966356
21,N1,60.00000022203415
21,N2,60.00000022928963
21,N3,60.000000322688294
21,N4,60.00000030467023
21,N5,60.00000036838913
21,N6,60.00000032145358
21,N7,60.00000030721171
21,N8,60.00000032896477
21,N9,60.00000032318529
22,N1,60.000000042528505
22,N2,59.999999991913974
22,N3,60.000000095182195
22,N4,60.000000089465075
22,N5,60.000000126713914
22,N6,60.00000009988291
22,N7,60.00000006983605
22,N8,60.00000009580111
22,N9,60.00000009560271
23,N1,59.99999996663405
23,N2,59.99999988185331
23,N3,59.99999999046203
23,N4,59.99999999503001
23,N5,60.00000001614253
23,N6,59.99999999930183
23,N7,59.99999995977539
23,N8,59.99999998767468
23,N9,59.999999990850846
24,N1,59.999999888217296
24,N2,59.999999786889056
24,N3,59.99999989821072
24,N4,59.99999990858541
24,N5,59.99999992175317
24,N6,59.999999909117555
24,N7,59.99999986481114
24,N8,59.99999989362321
24,N9,59.99999989858086
