hour,node,p_charge_mw,p_discharge_mw,soc_mwh,lambda_eur_per_mwh
7,N3,1.5240382670737418e-07,10.519256237013348,36.257637833467896,67.15000000394978
7,N4,2.5237672979861097e-07,3.520458748034501e-07,2.5653585039092143e-05,67.15000002353881
7,N5,2.8450174236414333e-07,2.989362588540911e-07,2.615846614180909e-05,67.1500000789943
7,N6,2.0493116104960675e-07,5.453891004937711e-07,2.429658881796305e-05,67.15000002182235
7,N7,3.98182935023936e-07,2.2181471451211035e-07,2.7387771392336936e-05,67.15000007395433
7,N8,1.5240382995569696e-07,30.133587652379205,84.34107579493545,67.1500000452415
7,N9,1.524038268448338e-07,10.62743780025664,36.41699703629071,67.15000001226637
8,N1,2.522238257472058e-07,3.523744928821625e-07,2.551320683775538e-05,67.1499999968915
8,N2,3.9854725070731037e-07,2.216857239602677e-07,2.7523909781275673e-05,67.15000010842788
8,N3,1.5240382821739239e-07,13.69032894063137,21.631218167751033,67.15000000785628
8,N4,2.522214765449224e-07,3.5237855762366844e-07,2.5513191523164188e-05,67.1500000363102
8,N5,2.8442276074099894e-07,2.990230447475907e-07,2.6105216780961395e-05,67.15000011783262
8,N6,2.0464542438487414e-07,5.475741093722417e-07,2.390312186107165e-05,67.15000002964908
8,N7,3.985408684419464e-07,2.2168791429945714e-07,2.7523959582912852e-05,67.15000010842783
8,N8,1.5240383090238894e-07,40.22106905733596,41.369848312226495,67.15000004827247
8,N9,1.5240382836389007e-07,13.904128620105238,21.562158909597485,67.1500000171257
9,N1,2.5204916597134046e-07,3.5278276033981286e-07,2.5372220198621852e-05,67.14999994319565
9,N2,3.9894805625050655e-07,2.2153521860013094e-07,2.7660642236071293e-05,67.15000005296612
9,N3,1.5240382942661024e-07,20.246818458696378,2.0083749724218406e-06,67.14999994817623
9,N4,2.5204739351036944e-07,3.5278857453142226e-07,2.5372197013264013e-05,67.14999997636656
9,N5,2.8434534520154247e-07,2.9914257064637865e-07,2.6051767260558946e-05,67.15000005873645
9,N6,2.043130116054469e-07,5.502019016290952e-07,2.350653629545882e-05,67.1499999642608
9,N7,3.989416488429589e-07,2.2153741571231734e-07,2.766068369303293e-05,67.15000005296615
9,N8,1.5240383039375114e-07,38.72217666688108,1.5885505378840374e-06,67.14999995838879
9,N9,1.524038294470341e-07,20.182178993002356,2.0084415370447343e-06,67.14999995162292
10,N1,5.294967178464436e-07,2.0189784896594468e-07,2.5652126296434497e-05,60.00000021248433
10,N2,2.123459677238812e-06,1.4902104590465456e-07,2.948898997483792e-05,60.00000029584623
10,N3,2.037739634045118e-07,7.027474768504669e-07,1.448308815789914e-06,60.000000210793026
10,N4,5.294985743770391e-07,2.0190014966113774e-07,2.565210239078141e-05,60.00000023743713
10,N5,6.876474990471642e-07,1.823228324346397e-07,2.6500615968775383e-05,60.00000029769383
10,N6,3.5922852974272564e-07,2.5724363677365237e-07,2.3567941254027164e-05,60.00000022114044
10,N7,2.1232471648199828e-06,1.4902209502574792e-07,2.9488831399319656e-05,60.00000029584623
10,N8,1.9933247504700806e-07,7.607576889003394e-07,9.623504258739527e-07,60.000000203553505
10,N9,2.0379556417950514e-07,7.025016806635132e-07,1.4486582015018885e-06,60.00000021079303
11,N1,5.288966585354253e-07,2.0201687240565667e-07,2.5931343576937272e-05,60.00000000319232
11,N2,2.1933078415214515e-07,4.056402040391252e-07,2.9260907302437737e-05,74.15070808297057
